athlete_id,event,is_outdoor,year,age,result,wind,placement,club,date,venue,competition,competition_key,is_approved,rejection_reason
55297,"Lengde (Sone 0,5m)",True,2022,11,"2,81","-0,3",2,Rjukan Idrettslag,2022-05-25,Rjukan Stadion,"Rjukan, Stevne uke21 2022","2022-05-25|Rjukan Stadion|Rjukan, Stevne uke21 2022",True,
55297,"Kule 2,0kg",True,2022,11,"6,00",,1,Rjukan Idrettslag,2022-05-25,Rjukan Stadion,"Rjukan, Stevne uke21 2022","2022-05-25|Rjukan Stadion|Rjukan, Stevne uke21 2022",True,
55297,Spyd 400gram,True,2022,11,"14,91",,2,Rjukan Idrettslag,2022-05-25,Rjukan Stadion,"Rjukan, Stevne uke21 2022","2022-05-25|Rjukan Stadion|Rjukan, Stevne uke21 2022",True,
50928,60 meter,True,2019,13,"10,77","+0,8",4,Vadsø Turnforening,2019-09-21,Vadsø Idrettspark,"Vadsø, VTF-lekene 2019","2019-09-21|Vadsø Idrettspark|Vadsø, VTF-lekene 2019",True,
50928,60 meter,True,2019,13,"11,07","+0,8",8,Vadsø Turnforening,2019-06-08,Valhall Stadion,"Tromsø, Tromsølekene 2019","2019-06-08|Valhall Stadion|Tromsø, Tromsølekene 2019",True,
50928,60 meter,True,2019,13,"11,82","-1,4",5,Vadsø Turnforening,2019-08-17,Hammerfest Stadion,"Hammerfest, Isbjørnlekene 2019","2019-08-17|Hammerfest Stadion|Hammerfest, Isbjørnlekene 2019",True,
50928,60 meter,True,2018,12,"12,23","+0,7",3,Vadsø TIF,2018-08-25,Alta Idrettspark,"Alta, Finnmarksmesterskapet","2018-08-25|Alta Idrettspark|Alta, Finnmarksmesterskapet",True,
50928,60 meter,True,2019,13,"10,54","+3,0",5-h1,Vadsø Turnforening,2019-09-01,Måndalen Stadion,"Måndalen, Lerøy Lekene Midt-Nord 2019","2019-09-01|Måndalen Stadion|Måndalen, Lerøy Lekene Midt-Nord 2019",False,For mye vind/Assisting wind
50928,200 meter,True,2019,13,"37,93","-1,5",5-h2,Vadsø Turnforening,2019-08-31,Måndalen Stadion,"Måndalen, Lerøy Lekene Midt-Nord 2019","2019-08-31|Måndalen Stadion|Måndalen, Lerøy Lekene Midt-Nord 2019",True,
50928,200 meter,True,2019,13,"37,10","+2,5",5,Vadsø Turnforening,2019-06-09,Valhall Stadion,"Tromsø, Tromsølekene 2019","2019-06-09|Valhall Stadion|Tromsø, Tromsølekene 2019",False,For mye vind/Assisting wind
50928,600 meter,True,2019,13,"2,17,87",,2,Vadsø Turnforening,2019-09-21,Vadsø Idrettspark,"Vadsø, VTF-lekene 2019","2019-09-21|Vadsø Idrettspark|Vadsø, VTF-lekene 2019",True,
