athlete_id,event,is_outdoor,year,age,result,wind,placement,club,date,venue,competition,competition_key,is_approved,rejection_reason
26351,60 meter,True,2014,14,"9,79","-1,4",2,Austrheim IL,2014-04-24,Knarvik Stadion,"Knarvik, Seriestevne","2014-04-24|Knarvik Stadion|Knarvik, Seriestevne",True,
26351,800 meter,True,2014,14,"2,44,52",,1,Austrheim IL,2014-04-24,Knarvik Stadion,"Knarvik, Seriestevne","2014-04-24|Knarvik Stadion|Knarvik, Seriestevne",True,
26351,3000 meter,True,2014,14,"12,39,97",,1,Austrheim IL,2014-08-21,Austrheim Idrettspark,"Austrheim, Klubbmesterskap","2014-08-21|Austrheim Idrettspark|Austrheim, Klubbmesterskap",True,
58468,5000 meter,True,2024,42,"21,47,88",,12-h1,Grødem Runners,2024-06-06,Stavanger Stadion,"Stavanger, Løplabbet 5000m Challange","2024-06-06|Stavanger Stadion|Stavanger, Løplabbet 5000m Challange",True,
58468,5000 meter,True,2021,39,"23,03,89mx",,4,GTI,2021-06-02,Stavanger Stadion,"Stavanger, Skjalgstevne 2","2021-06-02|Stavanger Stadion|Stavanger, Skjalgstevne 2",True,
58468,5000 meter,True,2023,41,"21,57,42mx",,1-h1,GTI,2023-08-17,Stavanger Stadion,"Stavanger, Løplabbet 5000m Challenge","2023-08-17|Stavanger Stadion|Stavanger, Løplabbet 5000m Challenge",False,Ingen kontroll av sko
58468,10000 meter,True,2019,37,"46,57,55",,1,GTI,2019-06-18,Stavanger Stadion,"Stavanger, Treningsstevne","2019-06-18|Stavanger Stadion|Stavanger, Treningsstevne",True,
58468,Halvmaraton,True,2024,42,"1,41,50",,3,Grødem Runners,2024-02-17,Bryne,"Bryne, Robust-løpet 2024","2024-02-17|Bryne|Bryne, Robust-løpet 2024",True,
58468,Halvmaraton,True,2024,42,"1,59,05",,13,GTI,2024-01-13,Sola,"Sola, HOKA Solastranden Halvmaraton 2024","2024-01-13|Sola|Sola, HOKA Solastranden Halvmaraton 2024",True,
58468,Halvmaraton,True,2022,40,"1,41,00",,3,GTI,2022-03-19,Sola,"Sola, Hoka Solastranden Halvmaraton 2022","2022-03-19|Sola|Sola, Hoka Solastranden Halvmaraton 2022",True,
58468,Halvmaraton,True,2022,40,"1,44,19",,1,GTI,2022-05-06,Undheim,"Undheim, Undheim halvmaraton og 10 km 2022","2022-05-06|Undheim|Undheim, Undheim halvmaraton og 10 km 2022",True,
58468,Halvmaraton,True,2022,40,"1,49,03",,2,GTI,2022-04-05,Hålandsvannet,"Stavanger, Hålandsvannet Halvmaraton 2022","2022-04-05|Hålandsvannet|Stavanger, Hålandsvannet Halvmaraton 2022",True,
10017365,10 km,True,2024,27,"1,01,04",,79,ukjent,2024-01-13,Sola,"Sola, HOKA Solastranden Halvmaraton 2024","2024-01-13|Sola|Sola, HOKA Solastranden Halvmaraton 2024",False,Ikke medlem av NFIF
24967,60 meter,True,2016,11,"10,72","+1,1",8,Moss IL,2016-06-26,Melløs Stadion,"Moss, Mosselekene 2016","2016-06-26|Melløs Stadion|Moss, Mosselekene 2016",True,
24967,600 meter,True,2016,11,"2,21,83",,6,Moss IL,2016-06-26,Melløs Stadion,"Moss, Mosselekene 2016","2016-06-26|Melløs Stadion|Moss, Mosselekene 2016",True,
24967,"Lengde (Sone 0,5m)",True,2016,11,"2,69","+1,6",(-),Moss IL,2016-06-26,Melløs Stadion,"Moss, Mosselekene 2016","2016-06-26|Melløs Stadion|Moss, Mosselekene 2016",True,
24967,"Lengde (Sone 0,5m)",True,2016,11,"2,72","+2,3",7,Moss IL,2016-06-26,Melløs Stadion,"Moss, Mosselekene 2016","2016-06-26|Melløs Stadion|Moss, Mosselekene 2016",False,For mye vind/Assisting wind
24967,Liten Ball 150gram,True,2016,11,"20,06",,3,Moss IL,2016-06-26,Melløs Stadion,"Moss, Mosselekene 2016","2016-06-26|Melløs Stadion|Moss, Mosselekene 2016",True,
741968,60 meter,True,2022,11,"12,35","-1,6",3,Kristiansands IF Friidrett,2022-05-28,Kristiansand Stadion,"Kristiansand, Skillingslekene","2022-05-28|Kristiansand Stadion|Kristiansand, Skillingslekene",True,
741968,"60 meter hekk (68,0cm)",True,2022,11,"17,15","-0,1",3,Kristiansands IF Friidrett,2022-05-28,Kristiansand Stadion,"Kristiansand, Skillingslekene","2022-05-28|Kristiansand Stadion|Kristiansand, Skillingslekene",True,
741968,"Lengde (Sone 0,5m)",True,2022,11,"2,452Kristiansands IF Friidrett28.05.22Kristiansand, SkillingslekeneManglende informasjon om vind",,2,Kristiansands IF Friidrett,2022-05-28,Kristiansand Stadion,"Kristiansand, Skillingslekene","2022-05-28|Kristiansand Stadion|Kristiansand, Skillingslekene",False,Manglende informasjon om vind
741968,"Kule 2,0kg",True,2022,11,"4,22",,4,Kristiansands IF Friidrett,2022-05-28,Kristiansand Stadion,"Kristiansand, Skillingslekene","2022-05-28|Kristiansand Stadion|Kristiansand, Skillingslekene",True,
60133,200 meter,True,2019,14,"28,97","+2,4",3-h2,Norna-Salhus IL,2019-09-15,Leikvang Stadion,"Leikvang, Bergenslekene 2019","2019-09-15|Leikvang Stadion|Leikvang, Bergenslekene 2019",False,For mye vind/Assisting wind
60133,60 meter,False,2020,15,"8,64",,4-h3,Norna-Salhus IL,2020-01-19,Leikvang Friidrettshall,"Leikvang, Nornalekene 2020","2020-01-19|Leikvang Friidrettshall|Leikvang, Nornalekene 2020",True,
60133,60 meter,False,2020,15,"8,68",,4-h1,Norna-Salhus IL,2020-02-15,Leikvang Friidrettshall,"Leikvang, Pingvinlekene 2020","2020-02-15|Leikvang Friidrettshall|Leikvang, Pingvinlekene 2020",True,
60133,200 meter,False,2020,15,"28,09",,3-h1,Norna-Salhus IL,2020-02-14,Leikvang Friidrettshall,"Leikvang, Pingvinlekene 2020","2020-02-14|Leikvang Friidrettshall|Leikvang, Pingvinlekene 2020",True,
60133,200 meter,False,2020,15,"30,56",,4-h5,Norna-Salhus IL,2020-01-18,Leikvang Friidrettshall,"Leikvang, Nornalekene 2020","2020-01-18|Leikvang Friidrettshall|Leikvang, Nornalekene 2020",True,
10017849,Halvmaraton,True,2024,37,"1,32,10",,65,Robust Trening og Fysioterapi,2024-01-13,Sola,"Sola, HOKA Solastranden Halvmaraton 2024","2024-01-13|Sola|Sola, HOKA Solastranden Halvmaraton 2024",False,Ikke medlem av NFIF
34005,60 meter,True,2015,12,"10,46","+1,1",4-h4,Holen Skole,2015-05-20,Nygårdsmyren,"Bergen/La, Seriestevne/Skolestevne","2015-05-20|Nygårdsmyren|Bergen/La, Seriestevne/Skolestevne",True,
34005,600 meter,True,2015,12,"2,39,29",,7,Holen Skole,2015-05-20,Nygårdsmyren,"Bergen/La, Seriestevne/Skolestevne","2015-05-20|Nygårdsmyren|Bergen/La, Seriestevne/Skolestevne",True,
34005,"Lengde (Sone 0,5m)",True,2015,12,"2,77(ok)",,9,Holen Skole,2015-05-20,Nygårdsmyren,"Bergen/La, Seriestevne/Skolestevne","2015-05-20|Nygårdsmyren|Bergen/La, Seriestevne/Skolestevne",True,
19141,60 meter,True,2013,13,"10,24","+1,3",2-h5,Laksevåg TIL,2013-10-02,Nygårdsmyren,"Bergen/La, Seriestevne","2013-10-02|Nygårdsmyren|Bergen/La, Seriestevne",True,
19141,60 meter,True,2013,13,"10,42","+0,3",3-h4,Laksevåg TIL,2013-09-30,Nygårdsmyren,"Bergen/La, Seriestevne","2013-09-30|Nygårdsmyren|Bergen/La, Seriestevne",True,
19141,"60 meter hekk (76,2cm)",True,2013,13,"16,32","+0,0",1,Laksevåg TIL,2013-09-30,Nygårdsmyren,"Bergen/La, Seriestevne","2013-09-30|Nygårdsmyren|Bergen/La, Seriestevne",True,
19141,Høyde,True,2013,13,"1,00",,1,Laksevåg TIL,2013-10-02,Nygårdsmyren,"Bergen/La, Seriestevne","2013-10-02|Nygårdsmyren|Bergen/La, Seriestevne",True,
19141,"Kule 3,0kg",True,2013,13,"3,12",,2,Laksevåg TIL,2013-10-02,Nygårdsmyren,"Bergen/La, Seriestevne","2013-10-02|Nygårdsmyren|Bergen/La, Seriestevne",True,
