athlete_id,event,is_outdoor,year,age,result,wind,placement,club,date,venue,competition,competition_key,is_approved,rejection_reason
10031784,400 meter,True,2025,11,"1,30,67",,4,Fredrikstad IF,2025-06-10,Sentralidrettsanlegget i Fredrikstad,"Fredrikstad, Karusellstevne 3","2025-06-10|Sentralidrettsanlegget i Fredrikstad|Fredrikstad, Karusellstevne 3",True,
10031784,"Lengde (Sone 0,5m)",True,2025,11,"2,80(ok)",,5,Fredrikstad IF,2025-06-10,Sentralidrettsanlegget i Fredrikstad,"Fredrikstad, Karusellstevne 3","2025-06-10|Sentralidrettsanlegget i Fredrikstad|Fredrikstad, Karusellstevne 3",True,
10031784,Spyd 400gram,True,2025,11,"7,35",,6,Fredrikstad IF,2025-06-10,Sentralidrettsanlegget i Fredrikstad,"Fredrikstad, Karusellstevne 3","2025-06-10|Sentralidrettsanlegget i Fredrikstad|Fredrikstad, Karusellstevne 3",True,
53858,1500 meter,True,1960,30,"3,54,0",,1,Askim Idrettsforening,1960-06-03,,Oslo/Bi,,True,
53858,1 mile,True,1955,25,"4,19,4",,1,Lunner IL,1955-07-27,,Sarpsborg,,True,
53858,3000 meter,True,1957,27,"8,20,0",,3,IL i BUL,1957-07-31,,Oslo/Bi,,True,
53858,5000 meter,True,1955,25,"14,38,8",,3,Lunner IL,1955-07-14,,Oslo/Bi,,True,
53858,10000 meter,True,1955,25,"31,34,6",,1,Lunner IL,1955-08-12,,Oslo/Bi,,True,
53858,"3000 meter hinder (91,4cm)",True,1961,31,"9,49,0",,1,Askim Idrettsforening,1961-08-09,,Sarpsborg,,True,
40209,60 meter,False,2016,12,"9,71",,3-h1,Ready,2016-12-03,Bærum Idrettspark,"Bærum, Julestevnet","2016-12-03|Bærum Idrettspark|Bærum, Julestevnet",True,
10005224,60 meter,True,2022,13,"9,69","+1,5",3-h7,Selje IL,2022-08-10,Stryn Stadion,"Stryn, 60 meter Proffveka","2022-08-10|Stryn Stadion|Stryn, 60 meter Proffveka",True,
