athlete_id,event,is_outdoor,year,age,result,wind,placement,club,date,venue,competition,competition_key,is_approved,rejection_reason
3948,200 meter,True,2011,14,"36,64","+1,3",8-h1,Varteig IL,2011-09-03,Romerike Friidrettstadion,"Lillestrøm, NCC Lekene 2011 Lillestrøm","2011-09-03|Romerike Friidrettstadion|Lillestrøm, NCC Lekene 2011 Lillestrøm",True,
3948,200 meter,True,2011,14,"36,81","-1,7",6,Varteig IL,2011-08-30,Halden Stadion,"Halden, KM dag 2","2011-08-30|Halden Stadion|Halden, KM dag 2",True,
3948,600 meter,True,2014,17,"2,07,13",,3,Varteig IL,2014-05-28,Askim Stadion,"Askim, Askim Sparebanklekene 2014","2014-05-28|Askim Stadion|Askim, Askim Sparebanklekene 2014",True,
3948,600 meter,True,2011,14,"2,22,75",,10-h1,Varteig IL,2011-09-03,Romerike Friidrettstadion,"Lillestrøm, NCC Lekene 2011 Lillestrøm","2011-09-03|Romerike Friidrettstadion|Lillestrøm, NCC Lekene 2011 Lillestrøm",True,
3948,600 meter,True,2011,14,"2,25,01",,3,Varteig IL,2011-08-30,Halden Stadion,"Halden, KM dag 2","2011-08-30|Halden Stadion|Halden, KM dag 2",True,
3948,600 meter,False,2011,14,"2,19,98",,3,Varteig IL,2011-02-05,Ekeberghallen,"Oslo/Ek, Nasjonalt friidrettsstevne","2011-02-05|Ekeberghallen|Oslo/Ek, Nasjonalt friidrettsstevne",True,
1241,1000 meter,True,2011,18,"3,13,38",,2,Varteig IL,2011-05-21,Askim Stadion,"Askim, Askim Sparebanklekene 2011","2011-05-21|Askim Stadion|Askim, Askim Sparebanklekene 2011",True,
1241,800 meter,False,2011,18,"2,37,11",,7,Varteig IL,2011-02-05,Ekeberghallen,"Oslo/Ek, Nasjonalt friidrettsstevne","2011-02-05|Ekeberghallen|Oslo/Ek, Nasjonalt friidrettsstevne",True,
57064,5000 meter,True,1994,36,"15,08,3",,2,Varteig IL,1994-09-07,,Moss,,True,
10016843,10 km,True,2024,62,"1,16,39",,21,ukjent,2024-01-06,Tromsø,"Tromsø, PolarNight Marathon 2024","2024-01-06|Tromsø|Tromsø, PolarNight Marathon 2024",False,Ikke medlem av NFIF
10010521,Høyde,True,1984,17,"1,60",,M,Siggerud,1984-06-27,,Ås,,True,
10010521,Spyd 600gram,True,1986,19,"41,40",,10,Ski IL Friidrett,1986-09-01,,Siggerud,,True,
49345,1500 meter,True,2018,46,"4,58,20",,2,Rygge IL,2018-08-09,Halden Stadion,"Halden, Treningsstevne","2018-08-09|Halden Stadion|Halden, Treningsstevne",True,
49345,1500 meter,True,2018,46,"5,07,3",,1,Rygge IL,2018-08-01,Ski Idrettspark,"Ski, Kretsstevne","2018-08-01|Ski Idrettspark|Ski, Kretsstevne",True,
32152,100 meter,True,2015,13,"17,71","-1,9",3,Moss IL,2015-09-19,Melløs Stadion,"Moss, Klubbmesterskap 2015","2015-09-19|Melløs Stadion|Moss, Klubbmesterskap 2015",True,
32152,600 meter,True,2015,13,"2,07,68",,2,Moss IL,2015-09-19,Melløs Stadion,"Moss, Klubbmesterskap 2015","2015-09-19|Melløs Stadion|Moss, Klubbmesterskap 2015",True,
32152,1500 meter,True,2018,16,"5,05,5",,1,Rygge IL,2018-08-01,Ski Idrettspark,"Ski, Kretsstevne","2018-08-01|Ski Idrettspark|Ski, Kretsstevne",True,
32152,2000 meter,True,2017,15,"7,14,47",,4,Rygge IL,2017-08-06,Bislett Stadion,"Oslo/Bi, Tjalvelekene","2017-08-06|Bislett Stadion|Oslo/Bi, Tjalvelekene",True,
32152,3000 meter,True,2018,16,"10,35,67",,3,Rygge IL,2018-06-15,Nadderud Stadion,"Nadderud, Oslo Sportslager Tyrvinglekene","2018-06-15|Nadderud Stadion|Nadderud, Oslo Sportslager Tyrvinglekene",True,
32152,3000 meter,True,2018,16,"10,47,92",,1,Rygge IL,2018-08-09,Halden Stadion,"Halden, Treningsstevne","2018-08-09|Halden Stadion|Halden, Treningsstevne",True,
32152,3000 meter,True,2018,16,"10,48,94",,11,Rygge IL,2018-08-24,Bislett Stadion,"Oslo/Bi, Junior NM","2018-08-24|Bislett Stadion|Oslo/Bi, Junior NM",True,
32152,"Lengde (Sone 0,5m)",True,2015,13,"3,17","+0,0",2,Moss IL,2015-09-19,Melløs Stadion,"Moss, Klubbmesterskap 2015","2015-09-19|Melløs Stadion|Moss, Klubbmesterskap 2015",True,
32152,1000 meter,False,2018,16,"3,19,80",,4,Rygge IL,2018-01-06,Bærum Idrettspark,"Bærum, Indoor Games1","2018-01-06|Bærum Idrettspark|Bærum, Indoor Games1",True,
32152,1500 meter,False,2018,16,"5,15,83",,7,Rygge IL,2018-03-11,Steinkjerhallen,"Steinkjer, UM Innendørs","2018-03-11|Steinkjerhallen|Steinkjer, UM Innendørs",True,
63909,Tresteg,True,1954,24,"13,97(ok)",,1,Søndre Høland SK,1954-08-15,,Enebakkneset,,True,
65544,200 meter,True,1987,26,"26,28","-0,4",1,IF Sturla,1987-06-13,,Nesbyen,,True,
