event,gender,senior_start,senior_slutt,u15_start,u15_slutt,senior_pct,u15_pct,n15_snitt
Stav,M,4.69,5.20,2.90,3.10,11.0,6.7,15
Stav,F,3.73,3.77,2.40,2.57,1.2,6.9,10
Slegge,M,58.35,61.91,39.45,37.43,6.1,-5.1,14
Slegge,F,57.04,56.55,34.49,38.70,-0.9,12.2,32
Diskos,M,52.31,53.37,42.24,39.16,2.0,-7.3,37
Diskos,F,46.63,47.45,32.31,27.50,1.8,-14.9,31
Kule,M,15.45,15.81,13.55,12.22,2.3,-9.8,78
Kule,F,13.20,13.39,11.05,10.26,1.4,-7.1,76
200 m,M,21.27,21.07,23.81,23.51,1.0,1.2,76
200 m,F,24.10,23.56,25.93,26.38,2.2,-1.7,92
400 m,M,47.77,46.95,54.57,54.26,1.7,0.6,32
400 m,F,54.58,52.86,59.80,61.84,3.2,-3.4,28
1500 m,M,3:42.43,3:36.27,4:18.86,4:16.33,2.8,1.0,40
1500 m,F,4:21.43,4:13.48,4:59.03,4:58.27,3.0,0.3,25
