yr,gender,age_band,n_athletes
2013,F,10-12,2279
2013,F,13-14,1095
2013,F,15-19,937
2013,F,20-34,229
2013,F,35+,227
2013,F,ukjent,3
2013,M,10-12,2035
2013,M,13-14,1002
2013,M,15-19,1142
2013,M,20-34,572
2013,M,35+,1057
2013,M,ukjent,12
2013,ukjent,10-12,129
2014,F,10-12,2281
2014,F,13-14,1056
2014,F,15-19,941
2014,F,20-34,279
2014,F,35+,241
2014,F,ukjent,2
2014,M,10-12,1918
2014,M,13-14,939
2014,M,15-19,1051
2014,M,20-34,626
2014,M,35+,1040
2014,M,ukjent,4
2014,ukjent,10-12,146
2014,ukjent,13-14,1
2015,F,10-12,2243
2015,F,13-14,1139
2015,F,15-19,1078
2015,F,20-34,295
2015,F,35+,247
2015,F,ukjent,2
2015,M,10-12,1961
2015,M,13-14,943
2015,M,15-19,1252
2015,M,20-34,645
2015,M,35+,1092
2015,M,ukjent,2
2015,ukjent,10-12,166
2015,ukjent,13-14,1
2016,F,10-12,2050
2016,F,13-14,1192
2016,F,15-19,1028
2016,F,20-34,294
2016,F,35+,227
2016,M,10-12,2013
2016,M,13-14,964
2016,M,15-19,1236
2016,M,20-34,656
2016,M,35+,1038
2016,M,ukjent,2
2016,ukjent,10-12,180
2016,ukjent,15-19,1
2016,ukjent,20-34,1
2017,F,10-12,1920
2017,F,13-14,1139
2017,F,15-19,958
2017,F,20-34,292
2017,F,35+,192
2017,F,ukjent,1
2017,M,10-12,1876
2017,M,13-14,969
2017,M,15-19,1175
2017,M,20-34,618
2017,M,35+,1015
2017,M,ukjent,3
2017,ukjent,10-12,154
2017,ukjent,15-19,1
2017,ukjent,20-34,1
2018,F,10-12,1873
2018,F,13-14,1127
2018,F,15-19,1075
2018,F,20-34,325
2018,F,35+,226
2018,F,ukjent,3
2018,M,10-12,2126
2018,M,13-14,1030
2018,M,15-19,1224
2018,M,20-34,661
2018,M,35+,1071
2018,M,ukjent,11
2018,ukjent,10-12,144
2018,ukjent,13-14,2
2018,ukjent,15-19,1
2019,F,10-12,1929
2019,F,13-14,1014
2019,F,15-19,1103
2019,F,20-34,339
2019,F,35+,231
2019,M,10-12,2294
2019,M,13-14,1001
2019,M,15-19,1261
2019,M,20-34,764
2019,M,35+,1055
2019,M,ukjent,5
2019,ukjent,10-12,140
2019,ukjent,13-14,1
2019,ukjent,15-19,2
2020,F,10-12,1297
2020,F,13-14,728
2020,F,15-19,955
2020,F,20-34,333
2020,F,35+,169
2020,F,ukjent,2
2020,M,10-12,1568
2020,M,13-14,766
2020,M,15-19,1087
2020,M,20-34,882
2020,M,35+,1020
2020,M,ukjent,10
2020,ukjent,10-12,68
2020,ukjent,15-19,2
2021,F,10-12,1461
2021,F,13-14,703
2021,F,15-19,815
2021,F,20-34,279
2021,F,35+,148
2021,F,ukjent,1
2021,M,10-12,1703
2021,M,13-14,747
2021,M,15-19,956
2021,M,20-34,649
2021,M,35+,785
2021,M,ukjent,4
2021,ukjent,10-12,84
2021,ukjent,15-19,1
2021,ukjent,20-34,1
2022,F,10-12,1499
2022,F,13-14,769
2022,F,15-19,803
2022,F,20-34,334
2022,F,35+,227
2022,F,ukjent,1
2022,M,10-12,1801
2022,M,13-14,820
2022,M,15-19,1000
2022,M,20-34,666
2022,M,35+,1036
2022,M,ukjent,2
2022,ukjent,10-12,36
2022,ukjent,15-19,1
2022,ukjent,20-34,1
2023,F,10-12,1592
2023,F,13-14,748
2023,F,15-19,794
2023,F,20-34,330
2023,F,35+,201
2023,F,ukjent,1
2023,M,10-12,1803
2023,M,13-14,797
2023,M,15-19,1000
2023,M,20-34,676
2023,M,35+,918
2023,ukjent,10-12,19
2023,ukjent,13-14,1
2023,ukjent,20-34,1
2024,F,10-12,1443
2024,F,13-14,632
2024,F,15-19,772
2024,F,20-34,431
2024,F,35+,331
2024,F,ukjent,1
2024,M,10-12,1701
2024,M,13-14,669
2024,M,15-19,901
2024,M,20-34,895
2024,M,35+,1322
2024,ukjent,10-12,17
2024,ukjent,13-14,1
2024,ukjent,20-34,1
2025,F,10-12,1368
2025,F,13-14,717
2025,F,15-19,747
2025,F,20-34,330
2025,F,35+,232
2025,M,10-12,1930
2025,M,13-14,693
2025,M,15-19,954
2025,M,20-34,694
2025,M,35+,898
2025,ukjent,10-12,9
2025,ukjent,20-34,1
2025,ukjent,35+,1
