yr,gender,age,n_athletes
2013,F,10,796
2013,F,11,773
2013,F,12,710
2013,F,13,644
2013,F,14,451
2013,F,15,325
2013,F,16,227
2013,F,17,182
2013,F,18,117
2013,F,19,86
2013,M,10,708
2013,M,11,634
2013,M,12,693
2013,M,13,576
2013,M,14,426
2013,M,15,329
2013,M,16,301
2013,M,17,220
2013,M,18,159
2013,M,19,133
2014,F,10,779
2014,F,11,785
2014,F,12,717
2014,F,13,612
2014,F,14,444
2014,F,15,327
2014,F,16,231
2014,F,17,181
2014,F,18,132
2014,F,19,70
2014,M,10,663
2014,M,11,677
2014,M,12,578
2014,M,13,551
2014,M,14,388
2014,M,15,305
2014,M,16,254
2014,M,17,222
2014,M,18,153
2014,M,19,117
2015,F,10,670
2015,F,11,830
2015,F,12,743
2015,F,13,598
2015,F,14,541
2015,F,15,395
2015,F,16,256
2015,F,17,187
2015,F,18,147
2015,F,19,93
2015,M,10,675
2015,M,11,678
2015,M,12,608
2015,M,13,477
2015,M,14,466
2015,M,15,434
2015,M,16,268
2015,M,17,231
2015,M,18,195
2015,M,19,124
2016,F,10,635
2016,F,11,709
2016,F,12,706
2016,F,13,664
2016,F,14,528
2016,F,15,380
2016,F,16,236
2016,F,17,186
2016,F,18,131
2016,F,19,95
2016,M,10,681
2016,M,11,732
2016,M,12,600
2016,M,13,458
2016,M,14,506
2016,M,15,398
2016,M,16,301
2016,M,17,219
2016,M,18,185
2016,M,19,133
2017,F,10,634
2017,F,11,623
2017,F,12,663
2017,F,13,574
2017,F,14,565
2017,F,15,365
2017,F,16,222
2017,F,17,162
2017,F,18,129
2017,F,19,80
2017,M,10,610
2017,M,11,632
2017,M,12,634
2017,M,13,512
2017,M,14,457
2017,M,15,385
2017,M,16,264
2017,M,17,219
2017,M,18,171
2017,M,19,136
2018,F,10,620
2018,F,11,661
2018,F,12,592
2018,F,13,580
2018,F,14,547
2018,F,15,444
2018,F,16,249
2018,F,17,166
2018,F,18,139
2018,F,19,77
2018,M,10,762
2018,M,11,703
2018,M,12,661
2018,M,13,504
2018,M,14,526
2018,M,15,434
2018,M,16,260
2018,M,17,228
2018,M,18,181
2018,M,19,121
2019,F,10,633
2019,F,11,690
2019,F,12,606
2019,F,13,514
2019,F,14,500
2019,F,15,404
2019,F,16,327
2019,F,17,167
2019,F,18,122
2019,F,19,83
2019,M,10,818
2019,M,11,825
2019,M,12,651
2019,M,13,530
2019,M,14,471
2019,M,15,427
2019,M,16,331
2019,M,17,191
2019,M,18,172
2019,M,19,140
2020,F,10,413
2020,F,11,460
2020,F,12,424
2020,F,13,404
2020,F,14,324
2020,F,15,266
2020,F,16,261
2020,F,17,210
2020,F,18,136
2020,F,19,82
2020,M,10,492
2020,M,11,560
2020,M,12,516
2020,M,13,415
2020,M,14,351
2020,M,15,306
2020,M,16,272
2020,M,17,224
2020,M,18,162
2020,M,19,123
2021,F,10,482
2021,F,11,482
2021,F,12,497
2021,F,13,379
2021,F,14,324
2021,F,15,268
2021,F,16,184
2021,F,17,150
2021,F,18,133
2021,F,19,80
2021,M,10,580
2021,M,11,589
2021,M,12,534
2021,M,13,439
2021,M,14,308
2021,M,15,305
2021,M,16,218
2021,M,17,180
2021,M,18,158
2021,M,19,95
2022,F,10,565
2022,F,11,502
2022,F,12,432
2022,F,13,421
2022,F,14,348
2022,F,15,271
2022,F,16,183
2022,F,17,153
2022,F,18,111
2022,F,19,85
2022,M,10,665
2022,M,11,609
2022,M,12,527
2022,M,13,427
2022,M,14,393
2022,M,15,305
2022,M,16,250
2022,M,17,180
2022,M,18,138
2022,M,19,127
2023,F,10,468
2023,F,11,621
2023,F,12,503
2023,F,13,365
2023,F,14,383
2023,F,15,282
2023,F,16,219
2023,F,17,111
2023,F,18,107
2023,F,19,75
2023,M,10,649
2023,M,11,649
2023,M,12,505
2023,M,13,432
2023,M,14,365
2023,M,15,312
2023,M,16,287
2023,M,17,169
2023,M,18,136
2023,M,19,96
2024,F,10,468
2024,F,11,471
2024,F,12,504
2024,F,13,373
2024,F,14,259
2024,F,15,260
2024,F,16,188
2024,F,17,137
2024,F,18,96
2024,F,19,91
2024,M,10,615
2024,M,11,581
2024,M,12,505
2024,M,13,338
2024,M,14,331
2024,M,15,232
2024,M,16,226
2024,M,17,194
2024,M,18,150
2024,M,19,99
2025,F,10,485
2025,F,11,459
2025,F,12,424
2025,F,13,393
2025,F,14,324
2025,F,15,234
2025,F,16,235
2025,F,17,120
2025,F,18,91
2025,F,19,67
2025,M,10,712
2025,M,11,670
2025,M,12,548
2025,M,13,391
2025,M,14,302
2025,M,15,263
2025,M,16,244
2025,M,17,174
2025,M,18,151
2025,M,19,122
