yr,gender,debut_age,n
2015,F,10,669
2015,F,11,415
2015,F,12,272
2015,F,13,181
2015,F,14,165
2015,F,15,123
2015,F,16,61
2015,F,17,36
2015,F,18,19
2015,F,19,10
2015,M,8,1
2015,M,10,675
2015,M,11,381
2015,M,12,245
2015,M,13,175
2015,M,14,172
2015,M,15,189
2015,M,16,68
2015,M,17,56
2015,M,18,41
2015,M,19,16
2016,F,10,635
2016,F,11,345
2016,F,12,247
2016,F,13,198
2016,F,14,164
2016,F,15,85
2016,F,16,41
2016,F,17,34
2016,F,18,17
2016,F,19,6
2016,M,10,681
2016,M,11,373
2016,M,12,240
2016,M,13,144
2016,M,14,216
2016,M,15,110
2016,M,16,78
2016,M,17,51
2016,M,18,36
2016,M,19,11
2017,F,9,1
2017,F,10,634
2017,F,11,287
2017,F,12,247
2017,F,13,154
2017,F,14,151
2017,F,15,56
2017,F,16,15
2017,F,17,12
2017,F,18,10
2017,F,19,5
2017,M,10,610
2017,M,11,300
2017,M,12,260
2017,M,13,170
2017,M,14,168
2017,M,15,92
2017,M,16,57
2017,M,17,41
2017,M,18,29
2017,M,19,21
2018,F,9,1
2018,F,10,620
2018,F,11,352
2018,F,12,242
2018,F,13,146
2018,F,14,172
2018,F,15,89
2018,F,16,30
2018,F,17,16
2018,F,18,11
2018,F,19,7
2018,M,10,761
2018,M,11,378
2018,M,12,315
2018,M,13,142
2018,M,14,240
2018,M,15,149
2018,M,16,65
2018,M,17,42
2018,M,18,27
2018,M,19,15
2019,F,10,633
2019,F,11,373
2019,F,12,258
2019,F,13,153
2019,F,14,130
2019,F,15,77
2019,F,16,78
2019,F,17,8
2019,F,18,10
2019,F,19,3
2019,M,10,818
2019,M,11,446
2019,M,12,283
2019,M,13,158
2019,M,14,163
2019,M,15,126
2019,M,16,79
2019,M,17,29
2019,M,18,22
2019,M,19,14
2020,F,10,410
2020,F,11,185
2020,F,12,136
2020,F,13,98
2020,F,14,51
2020,F,15,22
2020,F,16,29
2020,F,17,20
2020,F,18,18
2020,F,19,3
2020,M,10,489
2020,M,11,231
2020,M,12,167
2020,M,13,102
2020,M,14,64
2020,M,15,63
2020,M,16,43
2020,M,17,32
2020,M,18,34
2020,M,19,9
2021,F,10,479
2021,F,11,274
2021,F,12,194
2021,F,13,125
2021,F,14,82
2021,F,15,63
2021,F,16,14
2021,F,17,13
2021,F,18,7
2021,F,19,1
2021,M,10,580
2021,M,11,336
2021,M,12,245
2021,M,13,163
2021,M,14,74
2021,M,15,79
2021,M,16,23
2021,M,17,22
2021,M,18,23
2021,M,19,10
2022,F,10,563
2022,F,11,259
2022,F,12,179
2022,F,13,135
2022,F,14,95
2022,F,15,58
2022,F,16,32
2022,F,17,7
2022,F,18,8
2022,F,19,2
2022,M,10,663
2022,M,11,324
2022,M,12,238
2022,M,13,139
2022,M,14,116
2022,M,15,94
2022,M,16,52
2022,M,17,16
2022,M,18,12
2022,M,19,12
2023,F,10,467
2023,F,11,317
2023,F,12,215
2023,F,13,144
2023,F,14,116
2023,F,15,68
2023,F,16,42
2023,F,17,9
2023,F,18,10
2023,F,19,2
2023,M,10,647
2023,M,11,318
2023,M,12,206
2023,M,13,158
2023,M,14,111
2023,M,15,82
2023,M,16,69
2023,M,17,21
2023,M,18,15
2023,M,19,5
2024,F,10,468
2024,F,11,238
2024,F,12,194
2024,F,13,106
2024,F,14,58
2024,F,15,31
2024,F,16,17
2024,F,17,6
2024,F,18,6
2024,F,19,6
2024,M,10,615
2024,M,11,291
2024,M,12,208
2024,M,13,102
2024,M,14,93
2024,M,15,37
2024,M,16,30
2024,M,17,24
2024,M,18,9
2024,M,19,11
2025,F,10,485
2025,F,11,260
2025,F,12,187
2025,F,13,61
2025,F,14,52
2025,F,15,27
2025,F,16,22
2025,F,17,8
2025,F,18,6
2025,F,19,1
2025,M,10,712
2025,M,11,354
2025,M,12,235
2025,M,13,95
2025,M,14,60
2025,M,15,31
2025,M,16,38
2025,M,17,23
2025,M,18,6
2025,M,19,5
