cohort_year,gender,age,n_active
2013,F,10,796
2013,F,11,399
2013,F,12,318
2013,F,13,243
2013,F,14,194
2013,F,15,161
2013,M,10,708
2013,M,11,299
2013,M,12,223
2013,M,13,168
2013,M,14,126
2013,M,15,110
2014,F,10,779
2014,F,11,415
2014,F,12,306
2014,F,13,230
2014,F,14,179
2014,F,15,140
2014,M,10,663
2014,M,11,297
2014,M,12,211
2014,M,13,163
2014,M,14,110
2014,M,15,84
2015,F,10,670
2015,F,11,364
2015,F,12,278
2015,F,13,233
2015,F,14,172
2015,F,15,115
2015,M,10,675
2015,M,11,358
2015,M,12,255
2015,M,13,190
2015,M,14,145
2015,M,15,91
2016,F,10,635
2016,F,11,336
2016,F,12,253
2016,F,13,195
2016,F,14,138
2016,F,15,99
2016,M,10,681
2016,M,11,332
2016,M,12,249
2016,M,13,185
2016,M,14,129
2016,M,15,100
2017,F,10,634
2017,F,11,309
2017,F,12,219
2017,F,13,153
2017,F,14,113
2017,F,15,83
2017,M,10,610
2017,M,11,324
2017,M,12,230
2017,M,13,154
2017,M,14,103
2017,M,15,89
2018,F,10,620
2018,F,11,316
2018,F,12,182
2018,F,13,138
2018,F,14,114
2018,F,15,86
2018,M,10,762
2018,M,11,378
2018,M,12,224
2018,M,13,157
2018,M,14,137
2018,M,15,92
2019,F,10,633
2019,F,11,275
2019,F,12,223
2019,F,13,176
2019,F,14,133
2019,F,15,108
2019,M,10,818
2019,M,11,329
2019,M,12,216
2019,M,13,164
2019,M,14,128
2019,M,15,88
2020,F,10,413
2020,F,11,208
2020,F,12,152
2020,F,13,108
2020,F,14,89
2020,F,15,76
2020,M,10,492
2020,M,11,253
2020,M,12,173
2020,M,13,133
2020,M,14,104
2020,M,15,85
2021,F,10,482
2021,F,11,243
2021,F,12,185
2021,F,13,137
2021,F,14,110
2021,F,15,56
2021,M,10,580
2021,M,11,284
2021,M,12,189
2021,M,13,127
2021,M,14,94
2021,M,15,52
2022,F,10,565
2022,F,11,304
2022,F,12,206
2022,F,13,157
2022,F,14,91
2022,M,10,665
2022,M,11,330
2022,M,12,195
2022,M,13,138
2022,M,14,67
