cohort_year,gender,age,n_active
2013,F,13,645
2013,F,14,311
2013,F,15,220
2013,F,16,150
2013,F,17,120
2013,F,18,100
2013,F,19,62
2013,M,13,581
2013,M,14,269
2013,M,15,187
2013,M,16,150
2013,M,17,110
2013,M,18,88
2013,M,19,75
2014,F,13,613
2014,F,14,349
2014,F,15,222
2014,F,16,159
2014,F,17,123
2014,F,18,90
2014,F,19,65
2014,M,13,554
2014,M,14,277
2014,M,15,206
2014,M,16,151
2014,M,17,117
2014,M,18,91
2014,M,19,71
2015,F,13,602
2015,F,14,335
2015,F,15,244
2015,F,16,174
2015,F,17,128
2015,F,18,88
2015,F,19,56
2015,M,13,480
2015,M,14,251
2015,M,15,180
2015,M,16,128
2015,M,17,96
2015,M,18,64
2015,M,19,45
2016,F,13,666
2016,F,14,380
2016,F,15,269
2016,F,16,192
2016,F,17,136
2016,F,18,98
2016,F,19,67
2016,M,13,465
2016,M,14,264
2016,M,15,195
2016,M,16,167
2016,M,17,113
2016,M,18,84
2016,M,19,72
2017,F,13,578
2017,F,14,348
2017,F,15,242
2017,F,16,179
2017,F,17,109
2017,F,18,82
2017,F,19,59
2017,M,13,514
2017,M,14,255
2017,M,15,177
2017,M,16,133
2017,M,17,101
2017,M,18,76
2017,M,19,56
2018,F,13,588
2018,F,14,339
2018,F,15,207
2018,F,16,138
2018,F,17,115
2018,F,18,76
2018,F,19,65
2018,M,13,508
2018,M,14,271
2018,M,15,187
2018,M,16,135
2018,M,17,115
2018,M,18,83
2018,M,19,59
2019,F,13,515
2019,F,14,254
2019,F,15,165
2019,F,16,114
2019,F,17,83
2019,F,18,69
2019,F,19,52
2019,M,13,532
2019,M,14,272
2019,M,15,188
2019,M,16,147
2019,M,17,106
2019,M,18,91
2019,M,19,75
2020,F,13,404
2020,F,14,208
2020,F,15,153
2020,F,16,115
2020,F,17,90
2020,F,18,63
2020,F,19,42
2020,M,13,415
2020,M,14,205
2020,M,15,148
2020,M,16,125
2020,M,17,108
2020,M,18,88
2020,M,19,65
2021,F,13,382
2021,F,14,223
2021,F,15,165
2021,F,16,125
2021,F,17,83
2021,F,18,58
2021,M,13,439
2021,M,14,241
2021,M,15,159
2021,M,16,129
2021,M,17,99
2021,M,18,79
2022,F,13,421
2022,F,14,248
2022,F,15,189
2022,F,16,144
2022,F,17,103
2022,M,13,432
2022,M,14,222
2022,M,15,148
2022,M,16,117
2022,M,17,91
