family,event,implement,age_class,yr,gender,n_athletes,top10_avg,top10_avg_fmt,rank25_value
Kule,kule_2kg,2kg,13 år,2013,F,271,10810.0,10.81,9340
Kule,kule_2kg,2kg,13 år,2014,F,234,11157.0,11.16,9690
Kule,kule_2kg,2kg,13 år,2015,F,201,11954.0,11.95,9380
Kule,kule_2kg,2kg,13 år,2016,F,277,11256.0,11.26,9990
Kule,kule_2kg,2kg,13 år,2017,F,251,11359.0,11.36,9690
Kule,kule_2kg,2kg,13 år,2018,F,217,11953.0,11.95,9480
Kule,kule_2kg,2kg,13 år,2019,F,190,11336.0,11.34,9330
Kule,kule_2kg,2kg,13 år,2020,F,136,11689.0,11.69,8840
Kule,kule_2kg,2kg,13 år,2021,F,127,10846.0,10.85,8710
Kule,kule_2kg,2kg,13 år,2022,F,162,10566.0,10.57,8810
Kule,kule_2kg,2kg,13 år,2023,F,143,10960.0,10.96,8710
Kule,kule_2kg,2kg,13 år,2024,F,178,10998.0,11.00,9090
Kule,kule_2kg,2kg,13 år,2025,F,202,10597.0,10.60,9070
Kule,kule_3kg,3kg,15 år,2013,F,76,11223.0,11.22,8780
Kule,kule_3kg,3kg,15 år,2014,F,87,11016.0,11.02,8890
Kule,kule_3kg,3kg,15 år,2015,F,95,10903.0,10.90,8720
Kule,kule_3kg,3kg,15 år,2016,F,104,10792.0,10.79,8770
Kule,kule_3kg,3kg,15 år,2017,F,109,11251.0,11.25,8810
Kule,kule_3kg,3kg,15 år,2018,F,136,11186.0,11.19,9220
Kule,kule_3kg,3kg,15 år,2019,F,117,10976.0,10.98,8800
Kule,kule_3kg,3kg,15 år,2020,F,68,11119.0,11.12,8540
Kule,kule_3kg,3kg,15 år,2021,F,69,11244.0,11.24,7980
Kule,kule_3kg,3kg,15 år,2022,F,78,11233.0,11.23,7980
Kule,kule_3kg,3kg,15 år,2023,F,99,10471.0,10.47,8050
Kule,kule_3kg,3kg,15 år,2024,F,82,10154.0,10.15,8190
Kule,kule_3kg,3kg,15 år,2025,F,79,10158.0,10.16,7390
Kule,kule_3kg,3kg,17 år,2013,F,23,11995.0,11.99,
Kule,kule_3kg,3kg,17 år,2014,F,23,10882.0,10.88,
Kule,kule_3kg,3kg,17 år,2015,F,30,12995.0,12.99,7940
Kule,kule_3kg,3kg,17 år,2016,F,37,11906.0,11.91,9430
Kule,kule_3kg,3kg,17 år,2017,F,27,11610.0,11.61,7250
Kule,kule_3kg,3kg,17 år,2018,F,34,11838.0,11.84,8350
Kule,kule_3kg,3kg,17 år,2019,F,36,12209.0,12.21,8020
Kule,kule_3kg,3kg,17 år,2020,F,47,12245.0,12.24,8820
Kule,kule_3kg,3kg,17 år,2021,F,44,11934.0,11.93,8640
Kule,kule_3kg,3kg,17 år,2022,F,30,12133.0,12.13,7460
Kule,kule_3kg,3kg,17 år,2023,F,17,10946.0,10.95,
Kule,kule_3kg,3kg,17 år,2024,F,27,11957.0,11.96,7380
Kule,kule_3kg,3kg,17 år,2025,F,23,11753.0,11.75,
Kule,kule_4kg,4kg,18/19 år,2013,F,30,11542.0,11.54,8560
Kule,kule_4kg,4kg,18/19 år,2014,F,36,11398.0,11.40,8730
Kule,kule_4kg,4kg,18/19 år,2015,F,35,11336.0,11.34,7530
Kule,kule_4kg,4kg,18/19 år,2016,F,33,11666.0,11.67,7600
Kule,kule_4kg,4kg,18/19 år,2017,F,41,11451.0,11.45,8190
Kule,kule_4kg,4kg,18/19 år,2018,F,40,11219.0,11.22,8450
Kule,kule_4kg,4kg,18/19 år,2019,F,42,10995.0,10.99,7980
Kule,kule_4kg,4kg,18/19 år,2020,F,31,11506.0,11.51,7790
Kule,kule_4kg,4kg,18/19 år,2021,F,54,12015.0,12.02,8910
Kule,kule_4kg,4kg,18/19 år,2022,F,41,11575.0,11.57,8200
Kule,kule_4kg,4kg,18/19 år,2023,F,30,11918.0,11.92,7070
Kule,kule_4kg,4kg,18/19 år,2024,F,34,11653.0,11.65,6890
Kule,kule_4kg,4kg,18/19 år,2025,F,22,11102.0,11.10,
Kule,kule_4kg,4kg,Senior,2013,F,41,12780.0,12.78,9040
Kule,kule_4kg,4kg,Senior,2014,F,47,12313.0,12.31,8810
Kule,kule_4kg,4kg,Senior,2015,F,43,12558.0,12.56,9360
Kule,kule_4kg,4kg,Senior,2016,F,48,12921.0,12.92,9580
Kule,kule_4kg,4kg,Senior,2017,F,62,12816.0,12.82,10090
Kule,kule_4kg,4kg,Senior,2018,F,44,12728.0,12.73,9640
Kule,kule_4kg,4kg,Senior,2019,F,34,12983.0,12.98,9590
Kule,kule_4kg,4kg,Senior,2020,F,43,11935.0,11.94,8460
Kule,kule_4kg,4kg,Senior,2021,F,38,12865.0,12.87,9380
Kule,kule_4kg,4kg,Senior,2022,F,40,13457.0,13.46,9330
Kule,kule_4kg,4kg,Senior,2023,F,41,12745.0,12.74,9740
Kule,kule_4kg,4kg,Senior,2024,F,49,13536.0,13.54,10110
Kule,kule_4kg,4kg,Senior,2025,F,41,13156.0,13.16,10170
Kule,kule_3kg,3kg,13 år,2013,M,193,11308.0,11.31,9520
Kule,kule_3kg,3kg,13 år,2014,M,159,12459.0,12.46,9280
Kule,kule_3kg,3kg,13 år,2015,M,166,11103.0,11.10,9100
Kule,kule_3kg,3kg,13 år,2016,M,170,11685.0,11.69,9520
Kule,kule_3kg,3kg,13 år,2017,M,174,11659.0,11.66,9500
Kule,kule_3kg,3kg,13 år,2018,M,162,10773.0,10.77,9050
Kule,kule_3kg,3kg,13 år,2019,M,150,11155.0,11.15,9050
Kule,kule_3kg,3kg,13 år,2020,M,114,10875.0,10.88,8610
Kule,kule_3kg,3kg,13 år,2021,M,170,10484.0,10.48,9090
Kule,kule_3kg,3kg,13 år,2022,M,143,10723.0,10.72,8830
Kule,kule_3kg,3kg,13 år,2023,M,132,11061.0,11.06,8860
Kule,kule_3kg,3kg,13 år,2024,M,123,10390.0,10.39,8590
Kule,kule_3kg,3kg,13 år,2025,M,164,11232.0,11.23,8380
Kule,kule_4kg,4kg,15 år,2013,M,69,14319.0,14.32,10660
Kule,kule_4kg,4kg,15 år,2014,M,67,13489.0,13.49,10410
Kule,kule_4kg,4kg,15 år,2015,M,101,12846.0,12.85,10850
Kule,kule_4kg,4kg,15 år,2016,M,102,13496.0,13.50,10800
Kule,kule_4kg,4kg,15 år,2017,M,83,12624.0,12.62,10560
Kule,kule_4kg,4kg,15 år,2018,M,96,14832.0,14.83,10880
Kule,kule_4kg,4kg,15 år,2019,M,98,13670.0,13.67,10580
Kule,kule_4kg,4kg,15 år,2020,M,54,13164.0,13.16,9660
Kule,kule_4kg,4kg,15 år,2021,M,96,13374.0,13.37,10440
Kule,kule_4kg,4kg,15 år,2022,M,87,12133.0,12.13,8930
Kule,kule_4kg,4kg,15 år,2023,M,92,12709.0,12.71,9990
Kule,kule_4kg,4kg,15 år,2024,M,62,11924.0,11.92,9380
Kule,kule_4kg,4kg,15 år,2025,M,90,12038.0,12.04,9530
Kule,kule_5kg,5kg,17 år,2013,M,36,13161.0,13.16,9220
Kule,kule_5kg,5kg,17 år,2014,M,27,12117.0,12.12,8040
Kule,kule_5kg,5kg,17 år,2015,M,29,15035.0,15.04,9220
Kule,kule_5kg,5kg,17 år,2016,M,26,13262.0,13.26,7280
