ovelse,menn_2013,menn_2025,kvinner_2013,kvinner_2025
100 m,1048.0,1038.9,1182.8,1161.4
200 m,2122.6,2095.5,2412.9,2343.3
400 m,4808.9,4676.1,5448.6,5254.6
800 m,10886.9,10740.0,12775.9,12373.6
1500 m,22083.6,21494.9,26145.1,25300.1
3000 m,48623.0,47121.3,58083.8,55192.6
5000 m,84104.5,79511.5,100440.0,95366.2
10 000 m,180906.4,175074.5,220681.1,201082.7
100/110 m hekk,1506.1,1474.6,1381.8,1335.1
400 m hekk,5339.3,5350.3,6063.1,5757.0
3000 m hinder,56069.5,54835.3,67463.1,61429.6
Lengde,7293.0,7573.0,5966.0,6246.0
Høyde,2067.0,2024.0,1740.0,1726.0
Stav,4647.0,5202.0,3880.0,3782.0
Tresteg,14920.0,14936.0,12322.0,12397.0
Kule,15440.0,15643.0,13444.0,13302.0
Diskos,51229.0,52441.0,45293.0,48903.0
Slegge,57030.0,61738.0,56254.0,56974.0
Spyd,69114.0,67672.0,50971.0,50578.0
