event,yr,gender,n_athletes,top10_avg,top10_avg_fmt,rank25_value,rank25_fmt,best_value,best_fmt
100m,2013,F,164,1257.3,12.57,1329,13.29,1203,12.03
100m,2013,M,137,1162.8,11.63,1216,12.16,1123,11.23
100m,2014,F,149,1255.9,12.56,1326,13.26,1206,12.06
100m,2014,M,130,1179.2,11.79,1234,12.34,1141,11.41
100m,2015,F,151,1281.0,12.81,1346,13.46,1245,12.45
100m,2015,M,134,1168.4,11.68,1230,12.30,1112,11.12
100m,2016,F,167,1256.7,12.57,1311,13.11,1232,12.32
100m,2016,M,153,1136.3,11.36,1198,11.98,1089,10.89
100m,2017,F,164,1267.0,12.67,1321,13.21,1246,12.46
100m,2017,M,133,1156.6,11.57,1221,12.21,1115,11.15
100m,2018,F,166,1255.6,12.56,1326,13.26,1201,12.01
100m,2018,M,123,1161.0,11.61,1224,12.24,1134,11.34
100m,2019,F,159,1262.7,12.63,1339,13.39,1212,12.12
100m,2019,M,140,1162.2,11.62,1226,12.26,1120,11.20
100m,2020,F,106,1283.8,12.84,1340,13.40,1251,12.51
100m,2020,M,122,1154.3,11.54,1221,12.21,1114,11.14
100m,2021,F,96,1269.0,12.69,1321,13.21,1254,12.54
100m,2021,M,101,1151.2,11.51,1227,12.27,1123,11.23
100m,2022,F,97,1272.7,12.73,1364,13.64,1246,12.46
100m,2022,M,108,1146.7,11.47,1210,12.10,1096,10.96
100m,2023,F,106,1286.2,12.86,1353,13.53,1238,12.38
100m,2023,M,96,1144.6,11.45,1226,12.26,1091,10.91
100m,2024,F,122,1264.4,12.64,1340,13.40,1235,12.35
100m,2024,M,85,1158.9,11.59,1221,12.21,1140,11.40
100m,2025,F,103,1282.9,12.83,1358,13.58,1237,12.37
100m,2025,M,85,1151.7,11.52,1238,12.38,1101,11.01
800m,2013,F,69,14101.0,2:21.01,15446,2:34.46,12810,2:08.10
800m,2013,M,79,12047.5,2:00.47,13218,2:12.18,11402,1:54.02
800m,2014,F,77,13808.0,2:18.08,14914,2:29.14,12926,2:09.26
800m,2014,M,88,12398.2,2:03.98,12961,2:09.61,12024,2:00.24
800m,2015,F,85,13611.6,2:16.12,14950,2:29.50,13122,2:11.22
800m,2015,M,115,12186.7,2:01.87,13006,2:10.06,11260,1:52.60
800m,2016,F,95,14003.5,2:20.03,14915,2:29.15,13535,2:15.35
800m,2016,M,110,12246.0,2:02.46,13256,2:12.56,11919,1:59.19
800m,2017,F,79,13715.2,2:17.15,15270,2:32.70,12948,2:09.48
800m,2017,M,107,12257.7,2:02.58,13049,2:10.49,11705,1:57.05
800m,2018,F,104,13752.6,2:17.53,14620,2:26.20,13095,2:10.95
800m,2018,M,129,12141.1,2:01.41,12857,2:08.57,12030,2:00.30
800m,2019,F,116,13967.2,2:19.67,14779,2:27.79,13750,2:17.50
800m,2019,M,123,12625.0,2:06.25,13349,2:13.49,12169,2:01.69
800m,2020,F,50,14207.7,2:22.08,15457,2:34.57,12967,2:09.67
800m,2020,M,57,12180.7,2:01.81,13202,2:12.02,11572,1:55.72
800m,2021,F,68,13814.8,2:18.15,14877,2:28.77,13120,2:11.20
800m,2021,M,73,12124.4,2:01.24,12901,2:09.01,11871,1:58.71
800m,2022,F,55,13723.8,2:17.24,15594,2:35.94,13290,2:12.90
800m,2022,M,76,12097.2,2:00.97,12882,2:08.82,11734,1:57.34
800m,2023,F,51,14146.1,2:21.46,15225,2:32.25,13706,2:17.06
800m,2023,M,69,12320.5,2:03.20,12927,2:09.27,11987,1:59.87
800m,2024,F,63,14090.5,2:20.91,15409,2:34.09,13305,2:13.05
800m,2024,M,51,12269.9,2:02.70,13147,2:11.47,11973,1:59.73
800m,2025,F,41,14059.8,2:20.60,16133,2:41.33,13160,2:11.60
800m,2025,M,53,12384.1,2:03.84,13587,2:15.87,11708,1:57.08
3000m,2013,F,7,74610.4,12:26.10,,,68095,11:20.95
3000m,2013,M,19,59064.6,9:50.65,,,53692,8:56.92
3000m,2014,F,8,70028.5,11:40.28,,,60777,10:07.77
3000m,2014,M,14,63562.0,10:35.62,,,53205,8:52.05
3000m,2015,F,8,73119.3,12:11.19,,,61004,10:10.04
3000m,2015,M,21,59081.0,9:50.81,,,50590,8:25.90
3000m,2016,F,15,68429.6,11:24.30,,,62881,10:28.81
3000m,2016,M,28,57276.0,9:32.76,70800,11:48.00,53752,8:57.52
3000m,2017,F,19,67616.4,11:16.16,,,58510,9:45.10
3000m,2017,M,36,58048.1,9:40.48,65541,10:55.41,56451,9:24.51
3000m,2018,F,19,66096.3,11:00.96,,,62429,10:24.29
3000m,2018,M,39,56524.7,9:25.25,64900,10:49.00,52902,8:49.02
3000m,2019,F,12,64355.1,10:43.55,,,59209,9:52.09
3000m,2019,M,29,57744.5,9:37.45,69394,11:33.94,54494,9:04.94
3000m,2020,F,10,72793.1,12:07.93,,,66930,11:09.30
3000m,2020,M,50,55666.9,9:16.67,60629,10:06.29,51108,8:31.08
