event,age_class,yr,gender,n_athletes,top10_avg,top10_avg_fmt,rank25_value,rank25_fmt
100m,15 år,2013,F,164,1257.3,12.57,1329,13.29
100m,15 år,2013,M,137,1162.8,11.63,1216,12.16
100m,15 år,2014,F,149,1255.9,12.56,1326,13.26
100m,15 år,2014,M,130,1179.2,11.79,1234,12.34
100m,15 år,2015,F,151,1281.0,12.81,1346,13.46
100m,15 år,2015,M,134,1168.4,11.68,1230,12.30
100m,15 år,2016,F,167,1256.7,12.57,1311,13.11
100m,15 år,2016,M,153,1136.3,11.36,1198,11.98
100m,15 år,2017,F,164,1267.0,12.67,1321,13.21
100m,15 år,2017,M,133,1156.6,11.57,1221,12.21
100m,15 år,2018,F,166,1255.6,12.56,1326,13.26
100m,15 år,2018,M,123,1161.0,11.61,1224,12.24
100m,15 år,2019,F,159,1262.7,12.63,1339,13.39
100m,15 år,2019,M,140,1162.2,11.62,1226,12.26
100m,15 år,2020,F,106,1283.8,12.84,1340,13.40
100m,15 år,2020,M,122,1154.3,11.54,1221,12.21
100m,15 år,2021,F,96,1269.0,12.69,1321,13.21
100m,15 år,2021,M,101,1151.2,11.51,1227,12.27
100m,15 år,2022,F,97,1272.7,12.73,1364,13.64
100m,15 år,2022,M,108,1146.7,11.47,1210,12.10
100m,15 år,2023,F,106,1286.2,12.86,1353,13.53
100m,15 år,2023,M,96,1144.6,11.45,1226,12.26
100m,15 år,2024,F,122,1264.4,12.64,1340,13.40
100m,15 år,2024,M,85,1158.9,11.59,1221,12.21
100m,15 år,2025,F,103,1282.9,12.83,1358,13.58
100m,15 år,2025,M,85,1151.7,11.52,1238,12.38
100m,16 år,2013,F,103,1272.4,12.72,1343,13.43
100m,16 år,2013,M,120,1142.2,11.42,1195,11.95
100m,16 år,2014,F,107,1265.3,12.65,1331,13.31
100m,16 år,2014,M,95,1140.7,11.41,1198,11.98
100m,16 år,2015,F,111,1231.5,12.31,1309,13.09
100m,16 år,2015,M,98,1145.7,11.46,1192,11.92
100m,16 år,2016,F,101,1268.3,12.68,1316,13.16
100m,16 år,2016,M,109,1126.3,11.26,1198,11.98
100m,16 år,2017,F,103,1243.1,12.43,1313,13.13
100m,16 år,2017,M,114,1110.3,11.10,1190,11.90
100m,16 år,2018,F,113,1249.1,12.49,1317,13.17
100m,16 år,2018,M,107,1135.2,11.35,1202,12.02
100m,16 år,2019,F,141,1232.9,12.33,1325,13.25
100m,16 år,2019,M,121,1142.0,11.42,1180,11.80
100m,16 år,2020,F,86,1256.0,12.56,1338,13.38
100m,16 år,2020,M,82,1142.1,11.42,1199,11.99
100m,16 år,2021,F,82,1256.7,12.57,1329,13.29
100m,16 år,2021,M,86,1125.3,11.25,1184,11.84
100m,16 år,2022,F,73,1258.0,12.58,1326,13.26
100m,16 år,2022,M,72,1123.7,11.24,1199,11.99
100m,16 år,2023,F,70,1261.8,12.62,1350,13.50
100m,16 år,2023,M,101,1116.9,11.17,1185,11.85
100m,16 år,2024,F,72,1255.9,12.56,1346,13.46
100m,16 år,2024,M,80,1125.2,11.25,1182,11.82
100m,16 år,2025,F,82,1232.6,12.33,1319,13.19
100m,16 år,2025,M,92,1129.8,11.30,1180,11.80
100m,17 år,2013,F,64,1222.8,12.23,1315,13.15
100m,17 år,2013,M,84,1103.4,11.03,1169,11.69
100m,17 år,2014,F,68,1259.7,12.60,1353,13.53
100m,17 år,2014,M,87,1118.8,11.19,1179,11.79
100m,17 år,2015,F,69,1244.4,12.44,1342,13.42
100m,17 år,2015,M,82,1129.6,11.30,1196,11.96
100m,17 år,2016,F,74,1220.5,12.21,1316,13.16
100m,17 år,2016,M,73,1121.5,11.21,1188,11.88
100m,17 år,2017,F,72,1246.9,12.47,1318,13.18
100m,17 år,2017,M,76,1124.6,11.25,1185,11.85
100m,17 år,2018,F,57,1245.7,12.46,1333,13.33
100m,17 år,2018,M,98,1103.1,11.03,1173,11.73
100m,17 år,2019,F,70,1234.2,12.34,1321,13.21
100m,17 år,2019,M,69,1120.6,11.21,1195,11.95
100m,17 år,2020,F,67,1227.8,12.28,1330,13.30
100m,17 år,2020,M,59,1126.4,11.26,1174,11.74
100m,17 år,2021,F,56,1263.8,12.64,1333,13.33
100m,17 år,2021,M,72,1132.5,11.32,1181,11.81
100m,17 år,2022,F,55,1267.2,12.67,1345,13.45
100m,17 år,2022,M,57,1108.5,11.09,1181,11.81
100m,17 år,2023,F,44,1242.5,12.43,1339,13.39
100m,17 år,2023,M,53,1108.8,11.09,1157,11.57
100m,17 år,2024,F,48,1241.7,12.42,1344,13.44
100m,17 år,2024,M,89,1102.7,11.03,1156,11.56
100m,17 år,2025,F,39,1259.0,12.59,1361,13.61
100m,17 år,2025,M,73,1100.4,11.00,1175,11.75
100m,18/19 år,2013,F,57,1224.4,12.24,1312,13.12
100m,18/19 år,2013,M,113,1093.8,10.94,1145,11.45
100m,18/19 år,2014,F,66,1221.0,12.21,1304,13.04
100m,18/19 år,2014,M,99,1071.9,10.72,1146,11.46
100m,18/19 år,2015,F,72,1230.8,12.31,1300,13.00
100m,18/19 år,2015,M,107,1068.4,10.68,1145,11.45
100m,18/19 år,2016,F,72,1215.0,12.15,1302,13.02
100m,18/19 år,2016,M,106,1102.3,11.02,1131,11.31
100m,18/19 år,2017,F,77,1199.4,11.99,1268,12.68
100m,18/19 år,2017,M,95,1094.1,10.94,1139,11.39
100m,18/19 år,2018,F,72,1209.2,12.09,1292,12.92
100m,18/19 år,2018,M,80,1091.8,10.92,1143,11.43
100m,18/19 år,2019,F,66,1221.2,12.21,1319,13.19
100m,18/19 år,2019,M,90,1098.6,10.99,1149,11.49
100m,18/19 år,2020,F,69,1231.8,12.32,1279,12.79
100m,18/19 år,2020,M,88,1091.2,10.91,1143,11.43
100m,18/19 år,2021,F,81,1209.6,12.10,1274,12.74
100m,18/19 år,2021,M,87,1084.7,10.85,1139,11.39
100m,18/19 år,2022,F,69,1218.2,12.18,1307,13.07
100m,18/19 år,2022,M,91,1087.6,10.88,1144,11.44
100m,18/19 år,2023,F,63,1224.1,12.24,1300,13.00
100m,18/19 år,2023,M,71,1086.2,10.86,1145,11.45
100m,18/19 år,2024,F,63,1221.3,12.21,1294,12.94
100m,18/19 år,2024,M,82,1079.4,10.79,1126,11.26
100m,18/19 år,2025,F,49,1209.9,12.10,1314,13.14
100m,18/19 år,2025,M,101,1077.4,10.77,1116,11.16
800m,15 år,2013,F,69,14101.0,2:21.01,15446,2:34.46
800m,15 år,2013,M,79,12047.5,2:00.47,13218,2:12.18
800m,15 år,2014,F,77,13808.0,2:18.08,14914,2:29.14
800m,15 år,2014,M,88,12398.2,2:03.98,12961,2:09.61
800m,15 år,2015,F,85,13611.6,2:16.12,14950,2:29.50
800m,15 år,2015,M,115,12186.7,2:01.87,13006,2:10.06
800m,15 år,2016,F,95,14003.5,2:20.03,14915,2:29.15
800m,15 år,2016,M,110,12246.0,2:02.46,13256,2:12.56
800m,15 år,2017,F,79,13715.2,2:17.15,15270,2:32.70
800m,15 år,2017,M,107,12257.7,2:02.58,13049,2:10.49
800m,15 år,2018,F,104,13752.6,2:17.53,14620,2:26.20
800m,15 år,2018,M,129,12141.1,2:01.41,12857,2:08.57
800m,15 år,2019,F,116,13967.2,2:19.67,14779,2:27.79
800m,15 år,2019,M,123,12625.0,2:06.25,13349,2:13.49
800m,15 år,2020,F,50,14207.7,2:22.08,15457,2:34.57
800m,15 år,2020,M,57,12180.7,2:01.81,13202,2:12.02
800m,15 år,2021,F,68,13814.8,2:18.15,14877,2:28.77
800m,15 år,2021,M,73,12124.4,2:01.24,12901,2:09.01
800m,15 år,2022,F,55,13723.8,2:17.24,15594,2:35.94
800m,15 år,2022,M,76,12097.2,2:00.97,12882,2:08.82
800m,15 år,2023,F,51,14146.1,2:21.46,15225,2:32.25
800m,15 år,2023,M,69,12320.5,2:03.20,12927,2:09.27
800m,15 år,2024,F,63,14090.5,2:20.91,15409,2:34.09
800m,15 år,2024,M,51,12269.9,2:02.70,13147,2:11.47
800m,15 år,2025,F,41,14059.8,2:20.60,16133,2:41.33
800m,15 år,2025,M,53,12384.1,2:03.84,13587,2:15.87
800m,16 år,2013,F,60,13815.3,2:18.15,14551,2:25.51
800m,16 år,2013,M,89,11848.1,1:58.48,12557,2:05.57
800m,16 år,2014,F,44,13792.2,2:17.92,15839,2:38.39
800m,16 år,2014,M,56,11970.6,1:59.71,13007,2:10.07
800m,16 år,2015,F,61,13558.3,2:15.58,14615,2:26.15
800m,16 år,2015,M,68,11892.7,1:58.93,12606,2:06.06
800m,16 år,2016,F,54,13294.1,2:12.94,14869,2:28.69
800m,16 år,2016,M,76,11856.7,1:58.57,12602,2:06.02
800m,16 år,2017,F,46,13645.6,2:16.46,15175,2:31.75
800m,16 år,2017,M,60,12141.9,2:01.42,13054,2:10.54
800m,16 år,2018,F,52,13555.5,2:15.56,15127,2:31.27
800m,16 år,2018,M,58,11922.2,1:59.22,13123,2:11.23
800m,16 år,2019,F,71,13267.4,2:12.67,14733,2:27.33
800m,16 år,2019,M,97,11722.4,1:57.22,12529,2:05.29
800m,16 år,2020,F,44,13976.8,2:19.77,15474,2:34.74
800m,16 år,2020,M,54,12259.4,2:02.59,13007,2:10.07
800m,16 år,2021,F,41,13955.4,2:19.55,14844,2:28.44
800m,16 år,2021,M,59,11956.5,1:59.56,12777,2:07.77
800m,16 år,2022,F,36,13492.8,2:14.93,15463,2:34.63
800m,16 år,2022,M,52,11726.0,1:57.26,12810,2:08.10
800m,16 år,2023,F,43,13783.5,2:17.84,16154,2:41.54
800m,16 år,2023,M,67,11694.8,1:56.95,12562,2:05.62
