event,yr,gender,n_athletes,top10_avg,top10_avg_fmt,rank25_value,rank25_fmt,best_value,best_fmt
100m,2013,F,926,1183.3,11.83,1223,12.23,1121,11.21
100m,2013,M,1007,1055.6,10.56,1086,10.86,995,9.95
100m,2014,F,945,1176.9,11.77,1226,12.26,1112,11.12
100m,2014,M,959,1046.5,10.46,1081,10.81,992,9.92
100m,2015,F,996,1172.0,11.72,1230,12.30,1112,11.12
100m,2015,M,1026,1044.3,10.44,1079,10.79,1020,10.20
100m,2016,F,1104,1164.3,11.64,1231,12.31,1126,11.26
100m,2016,M,1075,1038.4,10.38,1080,10.80,1010,10.10
100m,2017,F,1089,1174.0,11.74,1226,12.26,1123,11.23
100m,2017,M,1022,1049.9,10.50,1082,10.82,1017,10.17
100m,2018,F,920,1164.8,11.65,1222,12.22,1124,11.24
100m,2018,M,974,1049.3,10.49,1088,10.88,1020,10.20
100m,2019,F,934,1172.4,11.72,1217,12.17,1140,11.40
100m,2019,M,978,1058.2,10.58,1093,10.93,1028,10.28
100m,2020,F,674,1178.0,11.78,1233,12.33,1151,11.51
100m,2020,M,797,1059.0,10.59,1096,10.96,1039,10.39
100m,2021,F,650,1167.2,11.67,1223,12.23,1127,11.27
100m,2021,M,784,1053.0,10.53,1089,10.89,1025,10.25
100m,2022,F,686,1168.6,11.69,1230,12.30,1140,11.40
100m,2022,M,793,1051.9,10.52,1083,10.83,1029,10.29
100m,2023,F,633,1163.0,11.63,1213,12.13,1133,11.33
100m,2023,M,757,1044.0,10.44,1077,10.77,1033,10.33
100m,2024,F,694,1168.5,11.69,1217,12.17,1140,11.40
100m,2024,M,755,1042.8,10.43,1076,10.76,1033,10.33
100m,2025,F,646,1161.4,11.61,1205,12.05,1135,11.35
100m,2025,M,794,1038.9,10.39,1072,10.72,1026,10.26
800m,2013,F,439,12775.9,2:07.76,13584,2:15.84,12486,2:04.86
800m,2013,M,708,10907.8,1:49.08,11337,1:53.37,10785,1:47.85
800m,2014,F,468,12585.2,2:05.85,13370,2:13.70,12221,2:02.21
800m,2014,M,649,10779.9,1:47.80,11292,1:52.92,10371,1:43.71
800m,2015,F,493,12579.7,2:05.80,13208,2:12.08,12169,2:01.69
800m,2015,M,720,10860.6,1:48.61,11326,1:53.26,10613,1:46.13
800m,2016,F,518,12400.3,2:04.00,13263,2:12.63,12094,2:00.94
800m,2016,M,770,10900.1,1:49.00,11305,1:53.05,10575,1:45.75
800m,2017,F,463,12681.4,2:06.81,13251,2:12.51,11987,1:59.87
800m,2017,M,691,10883.5,1:48.83,11453,1:54.53,10513,1:45.13
800m,2018,F,477,12674.4,2:06.74,13297,2:12.97,12146,2:01.46
800m,2018,M,761,10922.8,1:49.23,11426,1:54.26,10503,1:45.03
800m,2019,F,489,12741.5,2:07.42,13248,2:12.48,12053,2:00.53
800m,2019,M,688,10905.9,1:49.06,11422,1:54.22,10510,1:45.10
800m,2020,F,286,12648.7,2:06.49,13214,2:12.14,11810,1:58.10
800m,2020,M,446,10830.9,1:48.31,11493,1:54.93,10447,1:44.47
800m,2021,F,339,12500.7,2:05.01,13178,2:11.78,11982,1:59.82
800m,2021,M,532,10847.3,1:48.47,11413,1:54.13,10505,1:45.05
800m,2022,F,278,12461.2,2:04.61,13290,2:12.90,12023,2:00.23
800m,2022,M,495,10824.5,1:48.25,11405,1:54.05,10475,1:44.75
800m,2023,F,319,12409.3,2:04.09,13135,2:11.35,12000,2:00.00
800m,2023,M,545,10860.2,1:48.60,11329,1:53.29,10457,1:44.57
800m,2024,F,348,12359.7,2:03.60,13305,2:13.05,12115,2:01.15
800m,2024,M,571,10733.2,1:47.33,11397,1:53.97,10313,1:43.13
800m,2025,F,321,12373.6,2:03.74,13447,2:14.47,12045,2:00.45
800m,2025,M,475,10740.0,1:47.40,11320,1:53.20,10373,1:43.73
3000m,2013,F,137,58083.8,9:40.84,61808,10:18.08,54670,9:06.70
3000m,2013,M,453,49012.3,8:10.12,51422,8:34.22,46219,7:42.19
3000m,2014,F,124,58017.5,9:40.17,61335,10:13.35,54698,9:06.98
3000m,2014,M,397,48559.5,8:05.60,51251,8:32.51,47732,7:57.32
3000m,2015,F,191,56646.3,9:26.46,60819,10:08.19,53283,8:52.83
3000m,2015,M,597,47946.8,7:59.47,51034,8:30.34,46659,7:46.59
3000m,2016,F,172,57217.8,9:32.18,60930,10:09.30,51947,8:39.47
3000m,2016,M,552,48158.3,8:01.58,50588,8:25.88,46970,7:49.70
3000m,2017,F,181,56554.1,9:25.54,60691,10:06.91,51758,8:37.58
3000m,2017,M,611,48278.3,8:02.78,50720,8:27.20,47255,7:52.55
3000m,2018,F,206,56974.0,9:29.74,60996,10:09.96,55875,9:18.75
3000m,2018,M,686,48673.3,8:06.73,50510,8:25.10,46272,7:42.72
3000m,2019,F,198,57246.7,9:32.47,59509,9:55.09,54040,9:00.40
3000m,2019,M,683,47755.7,7:57.56,50238,8:22.38,45685,7:36.85
3000m,2020,F,236,55850.1,9:18.50,59645,9:56.45,54675,9:06.75
3000m,2020,M,863,47239.8,7:52.40,49614,8:16.14,44705,7:27.05
3000m,2021,F,226,55178.2,9:11.78,58298,9:42.98,51084,8:30.84
3000m,2021,M,736,46732.3,7:47.32,49282,8:12.82,45306,7:33.06
3000m,2022,F,179,55514.5,9:15.14,58546,9:45.46,53718,8:57.18
3000m,2022,M,530,47504.8,7:55.05,49974,8:19.74,46353,7:43.53
3000m,2023,F,160,56020.1,9:20.20,59876,9:58.76,54767,9:07.67
3000m,2023,M,560,46322.3,7:43.22,48978,8:09.78,44363,7:23.63
3000m,2024,F,195,54749.6,9:07.50,58629,9:46.29,50702,8:27.02
3000m,2024,M,697,47002.3,7:50.02,49236,8:12.36,45349,7:33.49
3000m,2025,F,216,55192.6,9:11.93,58424,9:44.24,52972,8:49.72
3000m,2025,M,633,47229.1,7:52.29,49531,8:15.31,46021,7:40.21
lengde,2013,F,1757,5966.0,5.97,5410,5.41,6240,6.24
lengde,2013,M,1621,7281.0,7.28,6570,6.57,7520,7.52
lengde,2014,F,1697,5950.0,5.95,5480,5.48,6390,6.39
lengde,2014,M,1445,7286.0,7.29,6580,6.58,7720,7.72
lengde,2015,F,1733,5996.0,6.00,5540,5.54,6480,6.48
lengde,2015,M,1629,7327.0,7.33,6560,6.56,7660,7.66
