Utøver;Født;Kjønn;Nivå 2027;Beløp 2027;Øvelse;Resultat 2026;Dato;Stevne;Krav;Andre nivåer nådd;Stipend 2026;Kategori 2026;Nærmeste høyere nivå;Mangler
Sondre Guttormsen;1999;M;OL/VM;180000;Stav;6.06 (i);2026-03-07;Perche Elite Tour;5,82;EM, Elite A, Elite B;215000;OL/VM;;
Ilona Mononen;2003;F;OL/VM;180000;3000 m hinder;9:17.50;2026-08-26;Weltklasse;9:23,00;EM, Elite A, Elite B;50000;Elite A;;
Henrik Flåtnes;2001;M;EM;140000;Lengde;8.10 (+0.9);2026-06-28;Piraeus Street Long Jump;8,05;Elite A, Elite B;165000;EM;OL/VM (Lengde 8,27);2.1 %
Anna Marie Nordengen Sirevåg;2004;F;EM;140000;10000 m/10 km*;31:52.53;2026-06-06;The Lightning 10.000;32:00,00;Elite A, Elite B;66000;Elite A;OL/VM (5000 m/5 km 14:52,00);3.0 %
Anthony Ommundsen Johnsen;2007;M;EM;140000;110 m hekk;13.35 (+1.5);2026-08-23;Folksam GP;13,40;Elite A, U23 EM, Elite B;88000;Elite A;OL/VM (110 m hekk 13,27);0.6 %
Elea Jørstad Bock;2002;F;EM;140000;100 m hekk;12.85 (+0.3);2026-06-06;ArenaDM Västsvenska Dag1&SkaraRacet;12,88;Elite A, Elite B;126000;EM;OL/VM (100 m hekk 12,77);0.6 %
Kaja Mørch Pettersen;2001;F;Elite A;80000;Spyd;58.47;2026-05-16;51. HALPLUS Werfertage;55,64;Elite B;80000;Elite A;EM (Spyd 60,80);3.8 %
Simen Guttormsen;2001;M;Elite A;80000;Stav;5.80 (i);2026-02-22;ORLEN Copernicus Cup;5,53;Elite B;185500;OL/VM;OL/VM (Stav 5,82);0.3 %
Lovise Skarbøvik Andresen;2004;F;Elite A;80000;100 m hekk;12.95 (+0.7);2026-07-23;Hovedmesterskapet 2026;13,48;Elite B;80000;Elite A;EM (100 m hekk 12,88);0.5 %
Vilde Våge Henriksen;2000;F;Elite A;80000;3000 m hinder;9:40.58;2026-06-20;Track Night Vienna;10:01,06;Elite B;80000;Elite A;EM (3000 m hinder 9:28,00);2.2 %
Amalie M. Sæten;1997;F;Elite A;80000;5000 m/5 km;15:22.16;2026-07-23;Hovedmesterskapet 2026;15:47,62;Elite B;135000;EM;EM (5000 m/5 km 15:05,00);1.9 %
Madelène Holum;1994;F;Elite A;80000;5000 m/5 km;15:35.70;2026-07-04;The Pursuit 5,000m;15:47,62;Elite B;62000;Elite A;EM (5000 m/5 km 15:05,00);3.4 %
Oda Lier;2008;F;U20 EM;60000;100 m hekk;13.80 (+0.3);2026-06-06;ArenaDM Västsvenska Dag1&SkaraRacet;13,80;Elite B;30000;Elite B;Elite A (100 m hekk 13,48);2.4 %
Ingrid Pernille Rismark;2001;F;Elite B;40000;100 m hekk;13.57 (+0.6);2026-07-23;Hovedmesterskapet 2026;13,87;;60000;Elite A;Elite A (100 m hekk 13,48);0.7 %
Lisa Wilker;2003;F;Elite B;40000;Lengde;6.26 (i);2026-01-25;Hvam, Norgeslekene;6,17;;;;Elite A (Lengde 6,40);2.2 %
Sondre Nordstad Moen;1991;M;Elite B;40000;5000 m/5 km;13:37.32;2026-06-24;Boysen Memorial;13:45,00;;182500;OL/VM;Elite A (5000 m/5 km 13:30,73);0.8 %
Simen Gimnes;2003;M;Elite B;40000;Lengde;7.51 (i);2026-02-01;Nordenkampen;7,45;;58000;Elite B;Elite A (Lengde 7,68);2.2 %
Malene Kollberg;1999;F;Elite B;40000;100 m hekk;13.81 (+2.0);2026-06-19;Lillehammer Lekene;13,87;;40000;Elite B;Elite A (100 m hekk 13,48);2.4 %
Jonathan Hertwig-Ødegaard;2005;M;Elite B;40000;400 m;47.10;2026-09-08;Dinamo-Zrinjevac 2006 - International Athletic Meeting;47,20;;118000;Elite A;U23 EM (400 m 46,90);0.4 %
Frida Bjørnstad Konow;1997;F;Elite B;40000;5000 m/5 km;16:13.51;2026-07-11;Meeting of Braga;16:14,79;;40000;Elite B;Elite A (5000 m/5 km 15:47,62);2.7 %
Rachel Ombeni;2001;F;Elite B;40000;Tresteg;12.91 (+0.3);2026-08-16;Grand Prix Léo de Schutter;12,91;;48000;Elite B;Elite A (Tresteg 13,41);3.7 %
Sander Dybwad Mathiesen;2003;M;;0;;;;;;;50000;Elite B;Elite B (1500 m 3:43,15);0.3 %
Maja Brandstadmoen Ellingsen;2010;F;;0;;;;;;;;;U18 EM (400 m 57,00);0.5 %
Line Kloster;1990;F;;0;;;;;;;83000;Elite A;Elite B (100 m 11,80);0.6 %
Hanna Kristine Gunlaugsdatter Larsen;1999;F;;0;;;;;;;;;Elite B (800 m 2:06,05);0.9 %
Sara Kjeldsen Lie;2000;F;;0;;;;;;;30000;Elite B;Elite B (5000 m/5 km 16:14,79);1.0 %
Lina Svarlien;2008;F;;0;;;;;;;30000;Elite B;Elite B (Lengde 6,17);1.3 %
Emiliano Storm Røgeberg-Ortiz;2006;M;;0;;;;;;;30000;Elite B;U23 EM (400 m hekk 51,70);1.5 %
Sjur Prestsæter;1990;M;;0;;;;;;;60000;Elite A;Elite B (Maraton* 2:15:00);1.5 %
Kasper Sørlie-Reininger;2008;M;;0;;;;;;;;;U20 EM (3000m 8:12,00);1.8 %
Runa Skrove Falch;1990;F;;0;;;;;;;;;Elite B (10000 m/10 km* 33:57,90);1.8 %
Cassandra Ødegård Nilsen;2006;F;;0;;;;;;;;;Elite B (400 m hekk 59,62);1.9 %
Ådne Andersen;1994;M;;0;;;;;;;;;Elite B (5000 m/5 km 13:45,00);2.7 %
Mathilde Christin Knutsen;2000;F;;0;;;;;;;30000;Elite B;Elite B (10000 m/10 km* 33:57,90);2.7 %
