yr,arena,dato,athlete_id,sex,klasse,klasse_kjonn,fodselsdato,fodselsaar,alder_dager,alder_aar,fodt_kvartal,ovelse,ovelse_navn,resultattype,kategori,performance,verdi,manuell,performance_value,wind,is_wind_legal,is_manual_time,round,place
2012,Romerike Friidrettstadion,2012-09-09,7c5a5d35-c39e-48d8-a498-fcc5921e8006,G,13,G13,1999-01-09,1999,4992.0,13.66735112936345,1.0,1500m,1500 meter,time,middle_distance,4:33.46,273.46,False,27346.0,,True,False,final,1.0
2012,Romerike Friidrettstadion,2012-09-09,64126054-2b55-4ed3-bb20-a6891436d5b9,G,13,G13,1999-04-29,1999,4882.0,13.366187542778919,2.0,1500m,1500 meter,time,middle_distance,4:34.73,274.73,False,27473.0,,True,False,final,2.0
2012,Romerike Friidrettstadion,2012-09-09,0f903596-c73e-4602-87c1-9d3a610434b1,G,13,G13,1999-02-09,1999,4961.0,13.582477754962355,1.0,1500m,1500 meter,time,middle_distance,4:45.25,285.25,False,28525.0,,True,False,final,3.0
2012,Osterøy Stadion,2012-09-09,ac003306-d998-45f3-9217-8c1847c28964,G,13,G13,1999-12-31,1999,4636.0,12.692676249144421,4.0,1500m,1500 meter,time,middle_distance,4:46.22,286.22,False,28622.0,,True,False,final,1.0
2012,Romerike Friidrettstadion,2012-09-09,8ad9d49c-63c7-4ab5-a2ca-655b441ef12a,G,13,G13,1999-04-06,1999,4905.0,13.429158110882957,2.0,1500m,1500 meter,time,middle_distance,4:47.04,287.04,False,28704.0,,True,False,final,4.0
2012,Romerike Friidrettstadion,2012-09-09,d87384d4-9dc5-45b4-8b44-355944a4d82a,G,13,G13,1999-02-25,1999,4945.0,13.538672142368242,1.0,1500m,1500 meter,time,middle_distance,4:48.02,288.02,False,28802.0,,True,False,final,5.0
2012,Romerike Friidrettstadion,2012-09-09,1d534481-31fe-4393-89a7-c0384497901d,G,13,G13,1999-10-11,1999,4717.0,12.914442162902121,4.0,1500m,1500 meter,time,middle_distance,4:48.70,288.7,False,28870.0,,True,False,final,6.0
2012,Osterøy Stadion,2012-09-09,b7d16ace-d191-40d3-8788-92a4b086c57f,G,13,G13,1999-06-18,1999,4832.0,13.229295003422314,2.0,1500m,1500 meter,time,middle_distance,4:50.19,290.19,False,29019.0,,True,False,final,2.0
2012,Osterøy Stadion,2012-09-09,e2e425e0-32f3-4540-a7ab-a37a36527800,G,13,G13,1999-02-15,1999,4955.0,13.566050650239562,1.0,1500m,1500 meter,time,middle_distance,4:51.98,291.98,False,29198.0,,True,False,final,3.0
2012,Øverlands Minde,2012-09-09,1bbbaf1f-effc-4012-b13a-80aa9df0f800,G,13,G13,1999-05-08,1999,4873.0,13.34154688569473,2.0,1500m,1500 meter,time,middle_distance,4:53.82,293.82,False,29382.0,,True,False,final,1.0
2012,Romerike Friidrettstadion,2012-09-09,a1aea773-31ee-4d15-b625-4e37a6e3784b,G,13,G13,1999-04-17,1999,4894.0,13.399041752224504,2.0,1500m,1500 meter,time,middle_distance,4:54.86,294.86,False,29486.0,,True,False,final,7.0
2012,Romerike Friidrettstadion,2012-09-09,c4fe799f-b84c-4d87-9066-74828ab3cc2c,G,13,G13,1999-10-11,1999,4717.0,12.914442162902121,4.0,1500m,1500 meter,time,middle_distance,4:56.14,296.14,False,29614.0,,True,False,final,8.0
2012,Øverlands Minde,2012-09-09,ef5e754c-9990-40e3-b6e4-ace981a51105,G,13,G13,1999-01-30,1999,4971.0,13.609856262833675,1.0,1500m,1500 meter,time,middle_distance,4:57.33,297.33,False,29733.0,,True,False,final,2.0
2012,Øverlands Minde,2012-09-09,dc9f8bc6-db56-4bd1-9658-f5e9c2d94df0,G,13,G13,1999-02-26,1999,4944.0,13.535934291581109,1.0,1500m,1500 meter,time,middle_distance,4:58.35,298.35,False,29835.0,,True,False,final,3.0
2012,Romerike Friidrettstadion,2012-09-09,106f6c88-18fa-4729-9081-46db05d47663,G,13,G13,1999-11-14,1999,4683.0,12.821355236139631,4.0,1500m,1500 meter,time,middle_distance,4:59.89,299.89,False,29989.0,,True,False,final,9.0
2012,Øverlands Minde,2012-09-09,4496f768-eb72-40f9-91d2-24c81c92e73e,G,13,G13,1999-02-23,1999,4947.0,13.544147843942506,1.0,1500m,1500 meter,time,middle_distance,5:00.06,300.06,False,30006.0,,True,False,final,4.0
2012,Osterøy Stadion,2012-09-09,e5aeecf3-ed24-4022-a398-265a82e40caa,G,13,G13,1999-04-11,1999,4900.0,13.415468856947296,2.0,1500m,1500 meter,time,middle_distance,5:02.29,302.29,False,30229.0,,True,False,final,4.0
2012,Osterøy Stadion,2012-09-09,5d4794d9-f6e8-441e-bd3a-31303e88ddb9,G,13,G13,1999-11-09,1999,4688.0,12.83504449007529,4.0,1500m,1500 meter,time,middle_distance,5:07.10,307.1,False,30710.0,,True,False,final,5.0
2012,Osterøy Stadion,2012-09-09,f604bd60-e4da-4d17-93b6-2ae1258fd011,G,13,G13,1999-06-24,1999,4826.0,13.212867898699521,2.0,1500m,1500 meter,time,middle_distance,5:08.68,308.68,False,30868.0,,True,False,final,6.0
