ovelse,yr,sex,n,median_forb
60 m,2013,G,27,5.450236966824634
60 m,2013,J,44,2.4473375690189716
60 m,2014,G,24,5.83036072355784
60 m,2014,J,29,3.48027842227377
60 m,2015,G,26,1.6802446067606542
60 m,2015,J,31,0.8064516129032291
60 m,2016,G,25,6.5375302663438255
60 m,2016,J,43,2.3354564755838707
60 m,2017,G,27,4.469987228607914
60 m,2017,J,32,2.281715600350578
60 m,2018,G,20,3.736617725524343
60 m,2018,J,33,1.9607843137254894
60 m,2019,G,18,5.194272831083647
60 m,2019,J,31,2.2508038585209094
60 m,2020,G,23,3.8461538461538445
60 m,2020,J,28,1.8753900561680783
60 m,2021,G,21,3.0826140567200877
60 m,2021,J,26,1.9188596491228052
60 m,2022,G,19,3.526448362720406
60 m,2022,J,33,0.9019165727170245
60 m,2023,G,15,5.018359853121177
60 m,2023,J,28,1.7572809912570233
60 m,2024,G,19,5.459057071960303
60 m,2024,J,17,4.1573033707865275
60 m,2025,G,15,3.4134007585335078
60 m,2025,J,35,2.1541950113378627
200 m,2013,G,14,3.7881140292095044
200 m,2013,J,22,3.2536907525475876
200 m,2014,G,15,7.155445893549528
200 m,2014,J,25,4.679552390640891
200 m,2015,G,19,4.105221203666804
200 m,2015,J,26,1.4956311920188448
200 m,2016,G,17,5.909250791417516
200 m,2016,J,27,2.801503245644005
200 m,2017,G,21,6.743666169895674
200 m,2017,J,23,1.9999999999999996
200 m,2018,G,16,4.594847067432841
200 m,2018,J,24,2.3969581957126413
200 m,2019,G,20,4.53928773318259
200 m,2019,J,20,0.8350740028817514
200 m,2020,G,21,7.181942544459637
200 m,2020,J,19,4.2014004668222675
200 m,2021,G,21,4.478138222849082
200 m,2021,J,18,1.9915260533921826
200 m,2022,G,21,7.022786701531561
200 m,2022,J,21,2.0253164556962044
200 m,2023,G,13,5.677867902665117
200 m,2023,J,27,2.7260179434092446
200 m,2024,G,10,4.973530653035704
200 m,2024,J,19,3.12306740878171
200 m,2025,G,16,6.413488292668223
200 m,2025,J,28,1.643671438988636
600 m,2013,G,25,5.650557620817842
600 m,2013,J,17,4.774511593938291
600 m,2014,G,22,6.455806723322082
600 m,2014,J,12,3.095000732650939
600 m,2015,G,18,5.975510391717846
600 m,2015,J,20,2.438243842982722
600 m,2016,G,13,10.56725810680885
600 m,2016,J,21,1.8515055171124033
600 m,2017,G,19,5.080558539205145
600 m,2017,J,23,4.380620829706992
600 m,2018,G,19,4.374627162457736
600 m,2018,J,28,1.9362556876906525
600 m,2019,G,24,4.751397845051276
600 m,2019,J,16,2.3036566928583255
600 m,2020,G,22,5.710427312297721
600 m,2020,J,16,2.546334135783844
600 m,2021,G,23,6.270691333982471
600 m,2021,J,21,4.280449777945763
600 m,2022,G,18,5.95179051686368
600 m,2022,J,12,0.2398666211425082
600 m,2023,G,19,5.157856093979434
600 m,2023,J,19,2.5428363106088154
600 m,2024,G,16,6.887230459838508
600 m,2024,J,21,2.69582016157358
600 m,2025,G,22,4.102560087092638
600 m,2025,J,23,3.2312322946175565
1500 m,2013,G,16,5.128703945730061
1500 m,2013,J,10,3.0042600157937134
1500 m,2014,G,17,6.472795497185757
1500 m,2015,G,12,5.367594862455931
1500 m,2015,J,15,2.2366985430973707
1500 m,2016,G,13,6.942446043165473
1500 m,2016,J,13,3.4595500908201746
1500 m,2017,G,14,4.513422342121733
1500 m,2017,J,14,0.9284683840442919
1500 m,2018,G,21,3.7103735212841893
1500 m,2018,J,18,1.6916955019982005
1500 m,2019,G,13,5.725453408380238
1500 m,2019,J,10,4.86237967973586
1500 m,2020,G,18,6.016073706231326
1500 m,2020,J,12,3.129423074004203
1500 m,2021,G,15,5.53461399057629
1500 m,2021,J,14,2.832384649339221
1500 m,2022,G,22,5.386592199431945
1500 m,2022,J,11,0.46388517477557384
1500 m,2023,G,14,5.486969451589589
1500 m,2023,J,16,2.220523205933504
1500 m,2024,G,14,6.639740643778191
1500 m,2024,J,10,1.9913001999868254
1500 m,2025,G,19,2.1584070138940494
1500 m,2025,J,17,0.2059669847039073
Lengde,2014,G,19,9.63855421686746
Lengde,2014,J,25,3.950617283950621
Lengde,2015,G,17,1.716738197424894
Lengde,2015,J,26,0.2032520325203299
Lengde,2016,G,18,2.4338289570810954
Lengde,2016,J,26,0.7127075559964438
Lengde,2017,G,18,7.874140174753666
Lengde,2017,J,29,0.9925558312655095
Lengde,2018,G,19,3.499999999999992
Lengde,2018,J,31,-0.43668122270743365
Lengde,2019,G,19,6.4444444444444455
Lengde,2019,J,30,3.7624526490046666
Lengde,2020,G,19,5.031446540880508
Lengde,2020,J,21,-1.6528925619834727
Lengde,2021,G,11,8.531746031746026
Lengde,2021,J,27,0.21321961620468627
Lengde,2022,G,14,7.656062424969982
Lengde,2022,J,27,2.1108179419525084
Lengde,2023,G,13,3.6619718309859253
Lengde,2023,J,27,-2.244389027431418
Lengde,2024,G,14,8.291161796151108
Lengde,2024,J,16,4.17203215814569
Lengde,2025,G,19,4.956896551724148
Lengde,2025,J,26,0.9495464852607687
Høyde,2013,G,16,3.546099290780145
Høyde,2013,J,19,0.0
Høyde,2014,G,15,11.029411764705875
Høyde,2014,J,11,7.352941176470577
Høyde,2015,J,20,3.611284939507713
Høyde,2016,G,15,8.280254777070057
Høyde,2016,J,15,7.633587786259531
Høyde,2017,G,13,11.450381679389306
Høyde,2017,J,16,7.222569879015434
Høyde,2018,G,12,6.941793893129761
Høyde,2018,J,24,0.0
Høyde,2019,G,12,7.936507936507944
