ovelse,kode,gruppe,yr,n,median,p90
60 m,60m,G13,2012,60,8.805,8.298
60 m,60m,G13,2013,55,8.94,8.26
60 m,60m,G13,2014,50,8.745,7.979
60 m,60m,G13,2015,57,8.99,8.256
60 m,60m,G13,2016,47,8.8,8.186
60 m,60m,G13,2017,46,8.745,8.015
60 m,60m,G13,2018,56,8.9,8.01
60 m,60m,G13,2019,55,8.66,8.0
60 m,60m,G13,2020,38,8.555,7.914
60 m,60m,G13,2021,53,8.78,8.128
60 m,60m,G13,2022,46,8.925,8.18
60 m,60m,G13,2023,43,8.85,8.35
60 m,60m,G13,2024,50,8.645,7.958
60 m,60m,G13,2025,48,8.75,8.247
60 m,60m,G14,2012,55,8.36,7.898
60 m,60m,G14,2013,62,8.33,7.865
60 m,60m,G14,2014,55,8.37,7.79
60 m,60m,G14,2015,54,8.435,7.814
60 m,60m,G14,2016,49,8.31,7.808
60 m,60m,G14,2017,51,8.29,7.82
60 m,60m,G14,2018,53,8.44,7.832
60 m,60m,G14,2019,49,8.27,7.658
60 m,60m,G14,2020,38,8.23,7.742
60 m,60m,G14,2021,55,8.08,7.636
60 m,60m,G14,2022,44,8.395,7.791
60 m,60m,G14,2023,43,8.44,7.78
60 m,60m,G14,2024,51,8.36,7.75
60 m,60m,G14,2025,39,8.39,7.7
60 m,60m,J13,2012,83,9.18,8.612
60 m,60m,J13,2013,74,9.17,8.743
60 m,60m,J13,2014,68,9.105,8.46
60 m,60m,J13,2015,73,9.22,8.64
60 m,60m,J13,2016,64,9.145,8.683
60 m,60m,J13,2017,75,9.09,8.548
60 m,60m,J13,2018,77,9.23,8.636
60 m,60m,J13,2019,71,9.12,8.57
60 m,60m,J13,2020,50,9.115,8.397
60 m,60m,J13,2021,69,9.12,8.734
60 m,60m,J13,2022,55,9.14,8.674
60 m,60m,J13,2023,42,9.185,8.622
60 m,60m,J13,2024,71,9.24,8.53
60 m,60m,J13,2025,66,9.03,8.505
60 m,60m,J14,2012,60,8.78,8.435
60 m,60m,J14,2013,74,8.77,8.246
60 m,60m,J14,2014,53,8.78,8.45
60 m,60m,J14,2015,59,8.95,8.378
60 m,60m,J14,2016,72,8.9,8.433
60 m,60m,J14,2017,60,8.835,8.303
60 m,60m,J14,2018,68,8.975,8.487
60 m,60m,J14,2019,63,8.91,8.342
60 m,60m,J14,2020,49,8.75,8.21
60 m,60m,J14,2021,46,8.9,8.285
60 m,60m,J14,2022,58,8.975,8.577
60 m,60m,J14,2023,56,8.975,8.39
60 m,60m,J14,2024,44,8.98,8.306
60 m,60m,J14,2025,64,9.1,8.386
200 m,200m,G13,2012,60,28.765,27.012
200 m,200m,G13,2013,38,29.15,27.105
200 m,200m,G13,2014,40,28.27,26.13
200 m,200m,G13,2015,41,29.03,26.75
200 m,200m,G13,2016,49,28.72,26.872
200 m,200m,G13,2017,35,28.12,26.454
200 m,200m,G13,2018,48,28.35,26.343
200 m,200m,G13,2019,54,28.79,26.659
