code,gender,klasse,yr,n,med,p90,gruppe
diskos_1kg,F,13,2012,1,20380.0,20380.0,J13
diskos_1kg,F,13,2013,1,21870.0,21870.0,J13
diskos_1kg,F,13,2014,2,19595.0,22415.0,J13
diskos_1kg,F,13,2015,1,28340.0,28340.0,J13
diskos_1kg,F,13,2016,3,19720.0,20328.0,J13
diskos_1kg,F,13,2017,1,19380.0,19380.0,J13
diskos_1kg,F,13,2018,1,22920.0,22920.0,J13
diskos_1kg,F,13,2019,1,15940.0,15940.0,J13
diskos_1kg,F,13,2020,2,18960.0,24968.0,J13
diskos_1kg,F,14,2012,3,21840.0,25216.0,J14
diskos_1kg,F,14,2013,4,24740.0,30112.0,J14
diskos_1kg,F,14,2014,1,14280.0,14280.0,J14
diskos_1kg,F,14,2015,3,29670.0,32110.0,J14
diskos_1kg,F,14,2016,5,31680.0,36066.0,J14
diskos_1kg,F,14,2017,2,16720.0,20008.0,J14
diskos_1kg,F,14,2018,2,27565.0,33761.0,J14
diskos_1kg,F,14,2019,4,25935.0,29077.0,J14
diskos_1kg,F,14,2020,3,19740.0,25796.0,J14
diskos_1kg,F,14,2023,1,13850.0,13850.0,J14
diskos_1kg,F,14,2024,3,19880.0,22136.0,J14
diskos_1kg,F,14,2025,3,12140.0,12988.0,J14
diskos_1kg,M,13,2013,2,19175.0,22779.0,G13
diskos_1kg,M,13,2014,6,21755.0,32215.0,G13
diskos_1kg,M,13,2015,5,27670.0,35244.0,G13
diskos_1kg,M,13,2016,3,27470.0,34262.0,G13
diskos_1kg,M,13,2017,2,24695.0,31667.0,G13
diskos_1kg,M,13,2018,3,13540.0,24124.0,G13
diskos_1kg,M,13,2022,1,25850.0,25850.0,G13
diskos_1kg,M,13,2023,2,26870.0,33678.0,G13
diskos_1kg,M,13,2024,2,28485.0,28537.0,G13
diskos_1kg,M,14,2012,63,20110.0,33668.0,G14
diskos_1kg,M,14,2013,53,21200.0,32640.0,G14
diskos_1kg,M,14,2014,65,21110.0,31258.0,G14
diskos_1kg,M,14,2015,59,24050.0,33012.0,G14
diskos_1kg,M,14,2016,65,21390.0,32614.0,G14
diskos_1kg,M,14,2017,58,21895.0,34098.0,G14
diskos_1kg,M,14,2018,75,23790.0,33312.0,G14
diskos_1kg,M,14,2019,47,23600.0,34932.0,G14
diskos_1kg,M,14,2020,57,23930.0,30904.0,G14
diskos_1kg,M,14,2021,40,23085.0,33707.0,G14
diskos_1kg,M,14,2022,60,19960.0,27393.0,G14
diskos_1kg,M,14,2023,56,21690.0,29120.0,G14
diskos_1kg,M,14,2024,52,22250.0,30611.0,G14
diskos_1kg,M,14,2025,48,22190.0,28920.0,G14
diskos_600g,F,13,2012,53,18440.0,25282.0,J13
