kode,gruppe,n_snitt,nasjonal_median,p_nm,nasjonal_p90,p_nt,lekene_median,lekene_topp
diskos_1kg,G14,57,3.0555559813731894,0.4786229719522292,-10.34867815010075,0.02218669977760507,-5.105,-14.175
diskos_1kg,J14,2,-35.44782653599071,0.11201447296787816,-39.106999356558354,0.1252298212014482,,
diskos_600g,J13,64,-7.352355934094416,0.030159773094137234,-7.063463940199771,0.19810886334787198,-7.539,-12.332
diskos_750g,G13,65,-3.344794705528509,0.313849607159215,-8.058376737038559,0.03200889932041134,-10.672,-14.376
diskos_750g,J13,3,1.9252056314935955,0.8894903994730555,-24.184895151434382,0.11408867909253641,,
diskos_750g,J14,58,-4.898094149166151,0.1119737041923553,-6.358458531785663,0.0005454334602848478,-6.866,-8.393
hoyde,G13,133,2.272619074765152,0.057492455000023764,0.8658643361699945,0.2740072555250775,-4.162,-3.897
hoyde,G14,92,0.9942185643274835,0.51765816644142,-0.3623264433192751,0.7288357993240717,-0.002,-2.637
hoyde,J13,157,-1.133474144482035,0.2780077973957754,1.144339606784984,0.2158185274769085,-0.0,0.001
hoyde,J14,101,-0.8744592998626873,0.32796796100957304,0.03823946859174988,0.9701354918401662,-0.0,-4.104
kule_2kg,G13,5,-0.5926271136355016,0.9547242933324079,-0.6783688573381328,0.959238968257058,,
kule_2kg,J13,236,-4.563027336001062,0.004469641378413714,-3.058950355943691,0.0947040348410038,-6.671,-1.712
kule_2kg,J14,3,-21.818536279138783,0.016814512053322742,-22.600947658927197,0.05871083430216075,,
kule_3kg,G13,191,-5.087654322729213,0.00560178176525752,-4.366804622949216,0.016822647805438014,-8.228,-8.581
kule_3kg,G14,7,-6.890021309102915,0.5302569750561109,-6.9806594628638035,0.5267322456942851,,
kule_3kg,J13,15,12.222719097889534,0.12768873069521516,1.3935247747594814,0.8411935446859606,,
kule_3kg,J14,174,-6.023242654329545,0.0017344428701190555,-2.8988130232846743,0.1629515607997495,-5.176,-5.98
kule_4kg,G13,6,6.5437638945100005,0.5386993621337476,2.917774401617132,0.8353595060175839,,
kule_4kg,G14,143,-6.059987344140621,0.006859072180587774,-6.27891043332988,0.005411353180931977,-5.031,-16.57
kule_4kg,J14,3,-9.051117191128862,0.27929188815096245,-12.08527433808913,0.31078384183414137,,
lengde,G13,230,-2.616977666588486,0.08453883245009437,-2.1154325423283464,0.20477633352910254,-1.373,1.428
lengde,G14,189,-3.50449059344738,0.019831096165076455,-0.25376976564629833,0.8210970495161798,-1.437,3.259
lengde,J13,297,-2.293223126703551,0.08449893671526827,-1.877048338389915,0.17065625987159397,-4.305,-1.903
lengde,J14,232,-1.283964660801961,0.29953238206808896,-0.6457882755115433,0.5438537393800147,-2.708,-0.382
spyd_400g,G13,108,-8.51466172958665,0.004786238171268165,-12.995934063225903,4.9802096526391896e-05,-16.386,-13.566
spyd_400g,J13,112,-7.324979493603843,0.02051269197824492,-8.023930444544979,0.0022246558594110942,-13.735,-14.975
spyd_400g,J14,85,-12.081693858346664,0.004495492581513076,-11.995428482660822,0.0031536992424772165,-17.414,-13.087
spyd_600g,G13,3,2.9792457623834023,0.9057957591793512,-4.805367372031406,0.7893437850508985,,
spyd_600g,G14,86,-10.740471182331886,0.011610657670279948,-10.224602244098266,0.02540243635140088,-16.372,-11.512
spyd_600g,J14,2,-44.763458747391304,0.06793237677734475,-49.62857635235091,0.04041135327592462,,
