ovelse,gruppe,median_2012_14,median_2023_25,p90_2012_14,p90_2023_25,median_diff,p90_diff
1500 m,G13,304.69,311.07,287.98,280.4,6.38,-7.58
1500 m,G14,291.91,289.36,272.94,267.73,-2.55,-5.21
1500 m,J13,328.76,331.61,308.57,299.11,2.85,-9.46
1500 m,J14,324.53,326.45,298.43,297.33,1.92,-1.1
200 m,G13,28.73,28.97,26.75,26.45,0.24,-0.3
200 m,G14,27.04,26.81,25.47,24.89,-0.23,-0.58
200 m,J13,30.0,30.34,28.36,28.08,0.34,-0.28
200 m,J14,28.97,29.83,27.49,27.45,0.86,-0.04
200 m hekk (68 cm),G13,34.67,35.2,31.37,31.72,0.53,0.35
200 m hekk (68 cm),J13,35.45,36.15,33.08,32.33,0.7,-0.75
"200 m hekk (76,2 cm)",G14,32.43,32.77,30.47,30.14,0.34,-0.33
"200 m hekk (76,2 cm)",J14,35.51,35.62,31.62,32.02,0.11,0.4
60 m,G13,8.83,8.75,8.18,8.18,-0.08,0.0
60 m,G14,8.35,8.4,7.85,7.74,0.05,-0.11
60 m,J13,9.15,9.15,8.6,8.55,0.0,-0.05
60 m,J14,8.78,9.02,8.38,8.36,0.24,-0.02
"60 m hekk (76,2 cm)",G13,10.92,10.92,9.85,9.84,0.0,-0.01
"60 m hekk (76,2 cm)",J13,11.24,11.57,10.14,10.16,0.33,0.02
"60 m hekk (76,2 cm)",J14,10.68,10.91,9.77,9.86,0.23,0.09
600 m,G13,106.3,106.42,97.96,96.89,0.12,-1.07
600 m,G14,99.99,99.8,93.97,92.31,-0.19,-1.66
600 m,J13,112.94,115.64,105.98,104.79,2.7,-1.19
600 m,J14,109.55,111.39,103.31,102.11,1.84,-1.2
80 m hekk (84 cm),G14,13.76,13.74,12.62,12.37,-0.02,-0.25
Diskos (1 kg),G14,23.91,22.89,34.17,29.72,-1.02,-4.45
Diskos (600 g),J13,18.64,18.03,25.61,24.49,-0.61,-1.12
Diskos (750 g),G13,22.59,20.26,31.68,28.87,-2.33,-2.81
Diskos (750 g),J14,20.54,19.21,28.12,25.13,-1.33,-2.99
Høyde,G13,1.39,1.31,1.5,1.48,-0.08,-0.02
Høyde,G14,1.49,1.44,1.63,1.56,-0.05,-0.07
Høyde,J13,1.33,1.29,1.44,1.45,-0.04,0.01
Høyde,J14,1.36,1.33,1.49,1.46,-0.03,-0.03
Kule (2 kg),J13,8.63,8.08,10.21,9.99,-0.55,-0.22
Kule (3 kg),G13,8.85,8.17,11.35,10.81,-0.68,-0.54
Kule (3 kg),J14,8.03,7.56,10.07,9.52,-0.47,-0.55
Kule (4 kg),G14,9.02,8.58,11.59,9.83,-0.44,-1.76
Lengde,G13,4.34,4.31,4.9,4.91,-0.03,0.01
Lengde,G14,4.75,4.64,5.32,5.54,-0.11,0.22
Lengde,J13,4.14,3.98,4.7,4.65,-0.16,-0.05
Lengde,J14,4.19,4.06,4.77,4.79,-0.13,0.02
Slegge (2 kg),J13,22.1,21.81,28.63,33.47,-0.29,4.84
Slegge (3 kg),G13,22.27,20.49,36.32,30.07,-1.78,-6.25
Slegge (3 kg),J14,21.41,21.14,28.61,32.72,-0.27,4.11
Slegge (4 kg),G14,23.7,20.5,37.02,31.27,-3.2,-5.75
Spyd (400 g),G13,30.22,24.64,38.66,32.89,-5.58,-5.77
Spyd (400 g),J13,21.32,18.37,29.69,25.86,-2.95,-3.83
Spyd (400 g),J14,26.08,20.78,34.14,29.21,-5.3,-4.93
Spyd (600 g),G14,31.13,26.76,39.55,35.4,-4.37,-4.15
Stav,G13,1.88,1.9,2.25,2.4,0.02,0.15
Stav,G14,2.2,2.29,2.68,2.8,0.09,0.12
Stav,J13,1.89,1.88,2.33,2.41,-0.01,0.08
Stav,J14,2.08,2.11,2.41,2.64,0.03,0.23
Tresteg,G13,9.26,9.13,10.48,10.05,-0.13,-0.43
Tresteg,G14,10.16,9.4,11.53,10.84,-0.76,-0.69
Tresteg,J13,8.79,8.71,9.8,9.93,-0.08,0.13
Tresteg,J14,8.99,8.84,10.13,10.14,-0.15,0.01
