yr,G13,G14,J13,J14
2012,3.361290322580645,3.2450331125827816,3.4285714285714284,3.0274725274725274
2013,3.7933333333333334,3.0789473684210527,3.964497041420118,3.198717948717949
2014,3.5531914893617023,3.2115384615384617,3.642458100558659,3.189542483660131
2015,3.9057971014492754,3.1216216216216215,3.9190751445086707,3.158536585365854
2016,3.818840579710145,3.1470588235294117,3.6483516483516483,3.074074074074074
2017,3.86231884057971,3.248322147651007,3.8941176470588235,3.255813953488372
2018,3.9395973154362416,3.3550724637681157,4.131428571428572,3.1666666666666665
2019,3.9523809523809526,3.389705882352941,4.083870967741936,3.326923076923077
2020,4.427184466019417,3.688073394495413,4.655172413793103,3.6129032258064515
2021,4.176056338028169,3.4397163120567376,4.326086956521739,3.786324786324786
2022,3.984375,3.464788732394366,4.222222222222222,3.595744680851064
2023,4.111111111111111,3.467741935483871,4.461538461538462,3.7115384615384617
2024,4.15748031496063,3.6639344262295084,4.3625,3.6065573770491803
2025,4.189655172413793,3.8290598290598292,4.3533333333333335,3.712418300653595
