yr,G13,G14,J13,J14,jevn_fordeling
2012,0.27730581166986523,0.3009890256283047,0.2277549623545518,0.2267262551837985,0.19125570514627163
2013,0.26365503080082137,0.26109225346538356,0.2515650823859368,0.2241615331964408,0.16531084103763233
2014,0.2591201013587313,0.3201430747830694,0.27262379930630865,0.2404745608031029,0.20229137217903975
2015,0.24980904482734687,0.21840923368306553,0.25490196078431376,0.250229545416604,0.18030326962565157
2016,0.27726778596448837,0.23351415407561782,0.25706463283465336,0.20381491095527732,0.15724367536532363
2017,0.2669353816513299,0.31769312790140014,0.2741474413173893,0.2699966572752018,0.19947517272073376
2018,0.26690345376176994,0.25221954388993056,0.238836980425987,0.257533869432049,0.1874692151707639
2019,0.24311552417653512,0.23950155010669558,0.2588814554768056,0.19429025634231953,0.16663440243180144
2020,0.3082673790394927,0.2550764316678077,0.26793174254761726,0.22571813384557635,0.1832694299576602
2021,0.244102534440042,0.2607268896752928,0.275858598059347,0.2553517902239844,0.19543954464147126
2022,0.22455808698108506,0.20593650885463363,0.22228137331947515,0.23128887301729012,0.17403688453604058
2023,0.23192334017796032,0.23446774609800158,0.304457197681017,0.20563716456940284,0.17197746900614183
2024,0.2391253967997327,0.25271260421225067,0.24626967830253238,0.2979769077995087,0.18806160422072443
2025,0.2578772215534943,0.23469465358582398,0.21431082006030658,0.22304536690332072,0.1740884897892468
