yr,G13,G14,J13,J14
2012,33.5483870967742,33.11258278145696,26.285714285714285,25.82417582417583
2013,35.333333333333336,34.868421052631575,30.17751479289941,31.41025641025641
2014,29.078014184397162,37.82051282051282,31.28491620111732,26.797385620915033
2015,32.608695652173914,27.027027027027028,35.26011560693642,32.926829268292686
2016,41.30434782608695,30.88235294117647,36.26373626373626,32.098765432098766
2017,34.78260869565217,41.61073825503356,30.58823529411765,29.069767441860467
2018,33.557046979865774,33.33333333333333,29.714285714285715,27.77777777777778
2019,34.01360544217687,33.82352941176471,32.25806451612903,26.923076923076923
2020,35.92233009708738,29.357798165137616,31.896551724137932,25.0
2021,30.985915492957744,28.368794326241137,32.608695652173914,28.205128205128204
2022,28.90625,26.056338028169012,30.246913580246915,28.368794326241137
2023,23.809523809523807,32.25806451612903,41.88034188034188,28.846153846153843
2024,29.133858267716533,28.688524590163933,30.625000000000004,36.885245901639344
2025,32.758620689655174,29.914529914529915,32.0,28.104575163398692
