gruppe,yr,n,median,p75,beste
G13,2012,14.0,1.97,2.095,2.72
G13,2013,10.0,1.795,2.082,2.52
G13,2014,8.0,2.07,2.358,3.9
G13,2015,10.0,1.87,2.02,2.72
G13,2016,16.0,1.995,2.22,2.92
G13,2017,11.0,1.82,1.97,3.12
G13,2018,12.0,2.02,2.368,2.62
G13,2019,14.0,2.085,2.395,2.75
G13,2020,8.0,1.995,2.02,2.12
G13,2021,14.0,1.945,2.095,3.12
G13,2022,19.0,1.82,2.12,2.62
G13,2023,17.0,1.92,2.17,2.72
G13,2024,16.0,1.82,2.055,2.32
G13,2025,18.0,1.97,2.232,2.8
G14,2012,14.0,2.17,2.558,3.42
G14,2013,14.0,2.32,2.495,3.42
G14,2014,17.0,2.1,2.22,3.22
G14,2015,15.0,2.02,2.245,4.52
G14,2016,15.0,2.07,2.495,3.32
G14,2017,15.0,2.37,2.57,3.92
G14,2018,10.0,2.345,2.57,3.77
G14,2019,12.0,2.65,2.845,3.12
G14,2020,15.0,2.32,2.595,3.32
G14,2021,13.0,1.92,2.22,3.01
G14,2022,14.0,1.97,2.47,3.12
G14,2023,15.0,2.27,2.685,3.15
G14,2024,20.0,2.32,2.495,3.17
G14,2025,16.0,2.27,2.445,2.7
J13,2012,11.0,1.87,2.135,2.6
J13,2013,12.0,2.07,2.182,2.32
J13,2014,18.0,1.72,2.032,2.22
J13,2015,14.0,1.82,2.12,2.42
J13,2016,13.0,1.92,2.22,2.32
J13,2017,13.0,1.92,2.17,3.05
J13,2018,16.0,1.87,2.22,2.92
J13,2019,10.0,2.1,2.28,3.02
J13,2020,12.0,1.945,2.07,3.12
J13,2021,12.0,1.845,1.97,2.37
J13,2022,23.0,1.92,2.22,2.82
J13,2023,18.0,1.82,2.258,3.0
J13,2024,17.0,1.82,2.02,2.22
J13,2025,11.0,2.0,2.02,2.67
J14,2012,18.0,2.045,2.245,2.42
J14,2013,8.0,1.895,2.282,2.42
J14,2014,19.0,2.12,2.36,2.62
J14,2015,17.0,2.02,2.12,3.37
J14,2016,15.0,2.02,2.32,2.62
J14,2017,17.0,2.07,2.52,2.92
J14,2018,18.0,1.92,2.007,2.9
J14,2019,16.0,1.92,2.478,3.1
J14,2020,14.0,2.195,2.295,3.1
J14,2021,15.0,1.82,2.185,3.02
J14,2022,16.0,1.82,2.045,2.47
J14,2023,20.0,2.02,2.458,2.82
J14,2024,14.0,2.145,2.632,2.85
J14,2025,16.0,2.17,2.34,2.62
