ovelse,kode,gruppe,n,aar,median_pct_tiaar,median_ki_lo,median_ki_hi,median_p,median_endring_2022_25_vs_2012_19_pct,topp_pct_tiaar,topp_ki_lo,topp_ki_hi,topp_p,topp_endring_2022_25_vs_2012_19_pct,ovelsesgruppe,kjonn,klasse
60 m,60m,G13,704,14,0.758,-0.826,2.342,0.349,0.226,1.604,0.121,3.088,0.034,0.246,Sprint,G,13
60 m,60m,G14,698,14,0.343,-1.13,1.816,0.649,-0.359,1.605,0.342,2.868,0.013,0.819,Sprint,G,14
60 m,60m,J13,938,14,0.219,-0.774,1.211,0.666,-0.164,0.7,-0.592,1.993,0.289,0.291,Sprint,J,13
60 m,60m,J14,826,14,-1.96,-2.995,-0.925,0.0,-1.409,0.297,-0.894,1.488,0.625,-0.024,Sprint,J,14
200 m,200m,G13,609,14,-0.053,-1.734,1.627,0.95,-0.349,1.549,-0.143,3.241,0.073,0.971,Sprint,G,13
200 m,200m,G14,644,14,0.135,-1.433,1.702,0.866,-0.111,1.601,0.063,3.138,0.042,0.793,Sprint,G,14
200 m,200m,J13,755,14,-1.224,-2.418,-0.03,0.045,-1.235,0.044,-1.406,1.494,0.952,0.29,Sprint,J,13
200 m,200m,J14,697,14,-2.658,-3.941,-1.375,0.0,-1.915,-0.673,-2.381,1.036,0.44,-0.648,Sprint,J,14
600 m,600m,G13,592,14,1.466,-0.351,3.283,0.114,0.399,1.466,-0.434,3.366,0.131,1.002,Mellomdistanse,G,13
600 m,600m,G14,621,14,0.453,-1.007,1.914,0.543,-0.171,2.094,0.382,3.807,0.017,2.326,Mellomdistanse,G,14
600 m,600m,J13,592,14,-1.885,-3.526,-0.243,0.025,-2.354,0.915,-0.583,2.413,0.232,-0.447,Mellomdistanse,J,13
600 m,600m,J14,517,14,-0.267,-1.953,1.419,0.756,-1.564,-0.173,-1.748,1.402,0.829,-0.91,Mellomdistanse,J,14
1500 m,1500m,G13,435,14,-0.777,-3.13,1.576,0.518,-1.258,2.076,0.011,4.141,0.049,1.06,Mellomdistanse,G,13
1500 m,1500m,G14,475,14,0.044,-1.792,1.881,0.963,-0.384,1.396,-0.675,3.468,0.187,1.557,Mellomdistanse,G,14
