Variabel,Kategori,n,Verdi
N,,1301,
Fødselsår,1998,441,33.9%
Fødselsår,1999,435,33.4%
Fødselsår,2000,425,32.7%
Kjønn,Gutt,603,46.3%
Kjønn,Jente,684,52.6%
Kjønn,Ukjent,14,1.1%
Region,Østlandet,611,47.0%
Region,Midt-Norge,296,22.8%
Region,Vestlandet,394,30.3%
Deltok begge år,Ja,598,46.0%
Tyrving best,Median (IQR),,790 (597–874)
Prestasjonskategori,Svak,270,25.4%
Prestasjonskategori,Under snitt,296,27.8%
Prestasjonskategori,Middels,453,42.5%
Prestasjonskategori,God,38,3.6%
Prestasjonskategori,Sterk,8,0.8%
Baseline øvelser,Median (IQR),,3 (2–4)
Baseline kategorier,Median (IQR),,2 (1–3)
