kjerne,klubb_stor,res_stor,ar_stor,klubb_liten,res_liten,ar_liten,felles_utovere,overlappende_ar,id_stor,id_liten
skjalg,Idrettslaget Skjalg,35163,1955–2026,IL Skjalg,572,1938–2021,107,ja,26b2476b-1204-4494-ab1e-65a49f2ec3aa,7347e910-cbe8-456a-8219-cb45a7eaac48
norna salhus,Norna-Salhus IL,34867,1959–2026,IL Norna-Salhus,289,1954–2022,66,ja,8cc4621d-812b-40ad-914e-3b7aa20679af,fb3f550a-ff2a-4801-b532-86edc625bf95
kristiansands,Kristiansands IF Friidrett,19447,1927–2026,Kristiansands IF,287,1927–2013,61,ja,cd45015b-dc96-4fa6-addb-d8a3fdbe1e4b,0babc298-c823-40ac-b3ea-715f973298cf
urædd,Urædd Friidrett,15366,1938–2026,IF Urædd,192,1935–2013,53,ja,ef2a08c7-d882-46d4-9f68-fa7c742335b5,47f6a13a-070d-449b-894a-c0e6aa46a993
stavanger,Stavanger Friidrettsklubb,472,2013–2021,Stavanger IF Friidrett,395,1942–2020,43,ja,3887cfc5-512b-41b6-a35d-2445611d2ffd,e349563d-6725-449e-9ce9-60afc7908448
raufoss,Raufoss Idrettslag Friidrett,3535,1972–2026,Raufoss IL,199,1970–2011,35,ja,9b53e9b3-aa77-42de-8a10-ce6ef93b04d9,6c6319b8-bc7f-412b-a60a-a65cfd8ea151
dalebrand,IL Dalebrand,833,1958–2026,Idrettslaget Dalebrand,272,2013–2026,32,ja,2b1c2378-d768-4feb-99fa-b568807a5f5f,a45d8c4f-f926-439e-8a1f-f5b6d6fe7c2b
tingvoll,Tingvoll Idrettslag,4276,1928–2026,Tingvoll Friidrettsklubb,788,1988–2026,29,ja,5b91599a-b160-4a03-914e-43b80208a6a5,6ca66edf-7841-4753-9ac1-32ed443395a5
herkules,Herkules Friidrett,16228,1982–2026,IF Herkules,119,1956–2013,29,ja,79cf5d99-4559-4ceb-808b-1e8ee9e266f2,2196ddf3-a84a-4a00-9ff7-6ae3bb8c3a31
stålkameratene,Stålkameratene IL,739,1963–2026,IL Stålkameratene,139,1959–1997,26,ja,df01c7e2-7f50-4074-a044-4814f0bc5be1,97fa624b-ebde-43cb-b272-97696441f581
mosjøen,Mosjøen Friidrettsklubb,1127,1960–2026,Mosjøen Idrettslag,592,2019–2026,25,ja,1ffd78f0-d19a-418b-af82-960d7ce40612,11bbbfc2-4eb7-4c5f-a812-228154da6bbb
lye,Lye IL,3004,2000–2026,Lye Idrettslag,672,2012–2026,24,ja,c15ae6ce-2b53-45aa-9af2-5908ad0e2830,4e7416f7-4c28-4edd-bbb5-458a94d73cd7
larvik,Larvik Turn & IF,18068,1949–2026,Larvik TIF,124,1950–2020,23,ja,e6085993-c5c7-48d6-8635-88ff9c5c41bb,36025bb9-9b39-49fa-8327-e8d253048b29
bfg fana,FIK BFG Fana,917,1958–2012,BFG Fana,76,1984–2011,21,ja,7f69739d-84d4-49ca-929b-5f6b5d583f3e,6fbe9b3d-50ea-4d37-a448-19bda52b2026
torvastad,Torvastad IL,1082,1988–2026,Torvastad Idrettslag,151,2012–2023,19,ja,d9d986cd-a2c4-40b4-9652-e658747cae7c,bd5d1029-5252-4dfc-8327-f5b7bb3cce60
kongsvinger,Kongsvinger IL Friidrett,3640,1938–2026,Kongsvinger IL,94,1930–2012,18,ja,1c9f2ea5-8ec0-45da-9748-9b03f990c216,1d733188-913e-48d3-b74b-6e2d653a15fe
stein,Stein FIK,2596,1961–2026,IL Stein,623,1965–2023,17,ja,826dd95f-fc3c-4f5e-a89a-01514f01cec0,8cb186cc-18fb-4017-9518-216fdcc9e46c
torodd,Torodd IF,211,1928–2025,IF Torodd,84,1927–2025,16,ja,abce088e-6c3f-4576-a7f1-403ae7bad107,e1b717b1-a24e-41bd-abcc-e2f41fcd6f53
vadsø,Vadsø Turnforening,1565,2011–2025,Vadsø TIF,350,1956–2023,15,ja,88f0c3ff-3fa3-4653-b168-d033a028f233,ea51ae79-1d02-4f59-9ea6-c141050211f2
sandefjord,Sandefjord Turn & IF,12899,1945–2026,Sandefjord TIF,73,1935–2016,15,ja,48e643fb-b505-4ecf-869b-033b961c5332,c313cbf7-19da-4e3f-9080-860eb7911c1f
veldre,Veldre Friidrett,2886,1960–2025,Veldre IL,64,1960–2005,14,ja,1dafa629-8af6-4fbe-ac63-46794c909b76,c5869fa1-d4ce-4a63-ad35-892942f5c520
førde,Førde IL Friidrett,5365,1939–2026,Førde IL,69,1957–2010,12,ja,f944747c-7e92-4b27-822e-1e46dfeb3ff7,311333e8-c43b-423e-b8dc-679e4cf2d33b
bryne,Bryne Friidrettsklubb,6693,1968–2026,Bryne IL,135,1960–2020,11,ja,916dab7e-76b5-49e6-8c8d-d9c7e61f4648,efcbf1c7-d40a-4fb6-b7c2-4e2da9d16185
