kjerne,klubb_stor,res_stor,ar_stor,klubb_liten,res_liten,ar_liten,felles_utovere,overlappende_ar,id_stor,id_liten,handling,nytt_navn
lye il,Lye IL,3004,2000-2026,Lye Idrettslag,672,2012-2026,24,ja,c15ae6ce-2b53-45aa-9af2-5908ad0e2830,4e7416f7-4c28-4edd-bbb5-458a94d73cd7,,
il skjalg,Idrettslaget Skjalg,35163,1955-2026,IL Skjalg,572,1938-2021,107,ja,26b2476b-1204-4494-ab1e-65a49f2ec3aa,7347e910-cbe8-456a-8219-cb45a7eaac48,,
il dalebrand,IL Dalebrand,833,1958-2026,Idrettslaget Dalebrand,272,2013-2026,32,ja,2b1c2378-d768-4feb-99fa-b568807a5f5f,a45d8c4f-f926-439e-8a1f-f5b6d6fe7c2b,,
torvastad il,Torvastad IL,1082,1988-2026,Torvastad Idrettslag,151,2012-2023,19,ja,d9d986cd-a2c4-40b4-9652-e658747cae7c,bd5d1029-5252-4dfc-8327-f5b7bb3cce60,,
bergens tf,Bergens Turnforening,17249,1935-2026,Bergens TF,114,1934-2020,21,ja,98a06e5a-1111-40e6-8a8c-244a94cc9e85,42020874-b128-4125-8be6-e5d8bc0d8dde,,
torvikbukt il,Torvikbukt IL,416,1987-2025,Torvikbukt Idrettslag,98,2013-2026,11,ja,6c08db7f-db00-4dac-8c06-31b4741a5305,fdb1e07a-cf41-4e4a-a5db-a0bf1b6d9db0,,
lorenskog fil,Lørenskog Friidrettslag,8348,1973-2026,Lørenskog FIL,73,1963-2017,12,ja,342ebd81-1680-4b8d-8f16-d5292f32a008,6e8b3eb8-b338-467e-9ab4-e51daa8bbdb6,,
ik grane,Idrettsklubben Grane,7960,1952-2026,IK Grane,69,1931-2012,9,ja,bd63982a-2e60-41fc-bca9-cc7cd3e710ad,3b584a75-8235-42eb-a3de-9f945d70f870,,
gloppen fil,Gloppen Friidrettslag,3939,1986-2026,Gloppen FIL,65,1990-2012,14,ja,23776162-6674-488a-9502-ddececb4f472,c9646230-3fa4-4771-af4d-f042131449f4,,
os tf,Os Turnforening,7169,1955-2026,Os TF,35,1982-2012,3,ja,322ebfa5-1cda-4691-8e7c-bad759fbdbe7,b5d18f0b-e59d-4786-a4c6-0438319c8a5e,,
leksvik il,Leksvik IL,112,1960-2025,Leksvik Il,31,2013-2025,4,ja,c0351746-74ef-4ed1-9ad0-46ee7a262d37,f50a6b3b-ee8f-41b7-b5e0-aede6d297143,,
mosjoen il,Mosjøen Idrettslag,592,2019-2026,Mosjøen IL,30,1959-1984,0,nei,11bbbfc2-4eb7-4c5f-a812-228154da6bbb,7af9a182-dc3f-4147-8e06-54bfd3a7cbfe,,
il skade,Idrettslaget Skade,81,1978-2026,IL Skade,13,1966-1998,1,ja,c7d41db7-f556-420c-9b89-ecca0ada3305,99f3b408-d656-41c4-b160-6598d635c50d,,
vadso tf,Vadsø Turnforening,1565,2011-2025,Vadsø TF,11,1957-1996,0,nei,88f0c3ff-3fa3-4653-b168-d033a028f233,62462893-c967-4033-8a1b-71a3b770932e,,
il ilar,Idrettslaget Ilar,863,2006-2026,IL Ilar,9,2002-2008,1,ja,6964b797-cd21-4f5a-ac4b-d44515f89bb9,84885b2b-24a9-4b80-bf0f-7ed1b13621e3,,
velledalen il,Velledalen IL,74,2011-2025,Velledalen Idrettslag,7,2012-2026,4,ja,27533281-c90a-403e-8d08-b9595cebc5f5,2d9509b4-80b2-43e2-998a-6563ad81caa3,,
alesunds il,Aalesunds IL,38,1929-1970,Ålesunds IL,6,1961-1988,0,ja,9554633e-f675-4231-a97f-68d0169b7530,9f99b1b9-eb38-4966-8dac-d2609f8e1ab5,,
il holevaringen,Idrettslaget Holeværingen,9,2017-2019,IL Holeværingen,3,1976-1977,0,nei,c2378fc6-22a7-4c01-a464-025622a68e17,becd8285-c2c7-4038-ae82-1ca758482d19,,
molde fk,Molde FK,4,2016-2016,Molde Fotballklubb,3,2026-2026,0,nei,ee92da3a-1b7c-461a-a567-e4e677c60e48,d5d1c99a-e185-4d73-b8ca-e3dca14dab3b,,
oslo politis il,Oslo Politis IL,531,1930-2026,Oslo Politis Idrettslag,2,2012-2012,2,ja,d01d5372-e5bf-435f-be40-aca20db147c5,0b873525-d1f5-468b-9d14-85df032d1751,,
gol il,Gol IL,9,1974-2020,Gol Idrettslag,2,2019-2020,2,ja,23fb9e10-f516-49f8-b8ed-0fe32955a6b2,d1ae2b3f-6e3c-4144-95fc-1572a8d2d20f,,
